sentence_id,sentence,obj1_shape,obj1_colour,obj1_size,relation,obj2_shape,obj2_colour,obj2_size,template_id
29,a grey sphere is inside a blue sphere,sphere,grey,medium,inside,sphere,blue,medium,4
30,one large grey circle is next to one small grey square,circle,grey,large,next to,square,grey,small,3
31,an orange triangle is inside a blue rectangle,triangle,orange,medium,inside,rectangle,blue,large,4
32,there is a small yellow rectangle to the left of a large purple square,rectangle,yellow,small,to the left of,square,purple,large,2
33,a blue hexagon is to the left of a pink triangle,hexagon,blue,small,to the left of,triangle,pink,medium,4
34,there is a small purple hexagon to the left of a small purple cube,hexagon,purple,small,to the left of,cube,purple,small,2
35,one small red rectangle is inside one medium yellow square,rectangle,red,small,inside,square,yellow,medium,3
36,a pink cylinder is inside an orange triangle,cylinder,pink,medium,inside,triangle,orange,large,4
37,a medium yellow circle is positioned to the right of a large pink cube,circle,yellow,medium,to the right of,cube,pink,large,6
38,one medium yellow triangle is to the right of one small purple hexagon,triangle,yellow,medium,to the right of,hexagon,purple,small,3
39,a medium cylinder is below a small triangle,cylinder,grey,medium,below,triangle,blue,small,5
40,an orange circle is to the left of a grey square,circle,orange,medium,to the left of,square,grey,large,4
41,a large purple hexagon is positioned below a medium red rectangle,hexagon,purple,large,below,rectangle,red,medium,6
42,a medium yellow circle is positioned to the right of a medium pink triangle,circle,yellow,medium,to the right of,triangle,pink,medium,6
43,a small pink rectangle is to the left of a small pink hexagon,rectangle,pink,small,to the left of,hexagon,pink,small,1
44,a green cube is inside a pink pentagon,cube,green,small,inside,pentagon,pink,medium,4
45,a small purple cylinder is positioned to the right of a large purple square,cylinder,purple,small,to the right of,square,purple,large,6
46,one medium red cylinder is to the right of one small purple hexagon,cylinder,red,medium,to the right of,hexagon,purple,small,3
47,a large orange pentagon is to the left of a small grey triangle,pentagon,orange,large,to the left of,triangle,grey,small,1
48,a red sphere is below a yellow cube,sphere,red,medium,below,cube,yellow,large,4
49,one medium brown sphere is next to one medium grey hexagon,sphere,brown,medium,next to,hexagon,grey,medium,3
50,there is a medium orange sphere inside a medium red oval,sphere,orange,medium,inside,oval,red,medium,2
51,one large grey cylinder is above one small purple cylinder,cylinder,grey,large,above,cylinder,purple,small,3
52,an orange oval is to the right of a pink rectangle,oval,orange,small,to the right of,rectangle,pink,large,4
53,a large brown rectangle is to the left of a small yellow rectangle,rectangle,brown,large,to the left of,rectangle,yellow,small,1
54,a grey circle is inside an orange hexagon,circle,grey,large,inside,hexagon,orange,small,4
55,a large red cylinder is positioned inside a large yellow rectangle,cylinder,red,large,inside,rectangle,yellow,large,6
56,there is a medium grey cube above a small green cylinder,cube,grey,medium,above,cylinder,green,small,2
57,a blue hexagon is to the right of a green triangle,hexagon,blue,small,to the right of,triangle,green,small,4
58,there is a large grey triangle next to a large green cube,triangle,grey,large,next to,cube,green,large,2
59,a medium yellow pentagon is above a small grey pentagon,pentagon,yellow,medium,above,pentagon,grey,small,1
60,a medium yellow hexagon is to the left of a medium purple circle,hexagon,yellow,medium,to the left of,circle,purple,medium,1
61,there is a medium yellow oval to the left of a large blue cylinder,oval,yellow,medium,to the left of,cylinder,blue,large,2
62,one medium green sphere is to the right of one small red hexagon,sphere,green,medium,to the right of,hexagon,red,small,3
63,a small oval is next to a medium cube,oval,grey,small,next to,cube,orange,medium,5
64,one large blue rectangle is to the right of one small grey rectangle,rectangle,blue,large,to the right of,rectangle,grey,small,3
65,one medium green square is next to one large green sphere,square,green,medium,next to,sphere,green,large,3
66,one small pink cylinder is inside one medium grey cube,cylinder,pink,small,inside,cube,grey,medium,3
67,a purple triangle is next to a blue oval,triangle,purple,medium,next to,oval,blue,medium,4
68,a small rectangle is to the left of a medium circle,rectangle,green,small,to the left of,circle,pink,medium,5
69,there is a small red hexagon inside a medium pink cube,hexagon,red,small,inside,cube,pink,medium,2
70,a small pink rectangle is positioned inside a medium yellow cylinder,rectangle,pink,small,inside,cylinder,yellow,medium,6
71,a large green cylinder is positioned to the left of a small purple hexagon,cylinder,green,large,to the left of,hexagon,purple,small,6
72,a yellow cylinder is below an orange cube,cylinder,yellow,medium,below,cube,orange,large,4
73,a small red pentagon is positioned next to a small yellow cylinder,pentagon,red,small,next to,cylinder,yellow,small,6
74,one small purple square is inside one medium green rectangle,square,purple,small,inside,rectangle,green,medium,3
75,a large green circle is positioned next to a large red cube,circle,green,large,next to,cube,red,large,6
76,a large pink square is above a medium red square,square,pink,large,above,square,red,medium,1
77,there is a medium brown circle above a large yellow rectangle,circle,brown,medium,above,rectangle,yellow,large,2
78,there is a large purple hexagon below a small green oval,hexagon,purple,large,below,oval,green,small,2
79,a large orange cube is positioned to the right of a small blue square,cube,orange,large,to the right of,square,blue,small,6
80,a large yellow oval is positioned below a medium brown circle,oval,yellow,large,below,circle,brown,medium,6
81,there is a medium blue cylinder to the left of a large brown sphere,cylinder,blue,medium,to the left of,sphere,brown,large,2
82,a small red pentagon is inside a large blue rectangle,pentagon,red,small,inside,rectangle,blue,large,1
83,a large circle is above a medium cube,circle,blue,large,above,cube,purple,medium,5
84,there is a medium yellow pentagon to the right of a small purple triangle,pentagon,yellow,medium,to the right of,triangle,purple,small,2
85,a medium purple sphere is to the right of a large grey cube,sphere,purple,medium,to the right of,cube,grey,large,1
86,one medium pink triangle is to the left of one medium purple cube,triangle,pink,medium,to the left of,cube,purple,medium,3
87,there is a small yellow cube to the right of a large purple hexagon,cube,yellow,small,to the right of,hexagon,purple,large,2
88,a large orange rectangle is to the left of a large red cylinder,rectangle,orange,large,to the left of,cylinder,red,large,1
89,a small pink sphere is below a large purple triangle,sphere,pink,small,below,triangle,purple,large,1
90,a medium orange circle is above a large yellow cylinder,circle,orange,medium,above,cylinder,yellow,large,1
91,there is a small pink triangle above a medium yellow triangle,triangle,pink,small,above,triangle,yellow,medium,2
92,a medium pink pentagon is positioned above a medium red oval,pentagon,pink,medium,above,oval,red,medium,6
93,a brown pentagon is to the right of a brown rectangle,pentagon,brown,large,to the right of,rectangle,brown,small,4
94,one large pink circle is to the left of one large purple sphere,circle,pink,large,to the left of,sphere,purple,large,3
95,a large yellow cylinder is positioned next to a large yellow triangle,cylinder,yellow,large,next to,triangle,yellow,large,6
96,there is a medium red rectangle above a small blue triangle,rectangle,red,medium,above,triangle,blue,small,2
97,a medium pink pentagon is inside a small green oval,pentagon,pink,medium,inside,oval,green,small,1
98,a large pink circle is positioned below a large yellow pentagon,circle,pink,large,below,pentagon,yellow,large,6
99,one large green pentagon is above one large blue triangle,pentagon,green,large,above,triangle,blue,large,3
100,a medium red rectangle is inside a large grey triangle,rectangle,red,medium,inside,triangle,grey,large,1
101,a small brown hexagon is positioned to the left of a small grey oval,hexagon,brown,small,to the left of,oval,grey,small,6
102,a small rectangle is next to a large oval,rectangle,brown,small,next to,oval,orange,large,5
103,a large square is above a large circle,square,green,large,above,circle,grey,large,5
104,one medium orange sphere is below one small orange cylinder,sphere,orange,medium,below,cylinder,orange,small,3
105,a small blue rectangle is below a large yellow triangle,rectangle,blue,small,below,triangle,yellow,large,1
106,a yellow triangle is to the left of a blue cylinder,triangle,yellow,large,to the left of,cylinder,blue,large,4
107,a large blue triangle is positioned to the left of a small purple circle,triangle,blue,large,to the left of,circle,purple,small,6
108,a small grey triangle is positioned next to a small yellow square,triangle,grey,small,next to,square,yellow,small,6
109,there is a small red rectangle next to a medium red square,rectangle,red,small,next to,square,red,medium,2
110,a small oval is above a small triangle,oval,red,small,above,triangle,yellow,small,5
111,there is a medium red circle above a small red oval,circle,red,medium,above,oval,red,small,2
112,there is a large orange cylinder next to a medium purple sphere,cylinder,orange,large,next to,sphere,purple,medium,2
113,a medium red square is positioned inside a medium purple oval,square,red,medium,inside,oval,purple,medium,6
114,a medium blue square is positioned inside a small orange pentagon,square,blue,medium,inside,pentagon,orange,small,6
115,there is a medium brown triangle next to a small green square,triangle,brown,medium,next to,square,green,small,2
116,there is a small pink rectangle to the left of a medium yellow pentagon,rectangle,pink,small,to the left of,pentagon,yellow,medium,2
117,a small red rectangle is positioned above a medium grey circle,rectangle,red,small,above,circle,grey,medium,6
118,an orange rectangle is below a green triangle,rectangle,orange,small,below,triangle,green,large,4
119,a large red circle is to the left of a medium red cube,circle,red,large,to the left of,cube,red,medium,1
120,a pink cylinder is next to a red cylinder,cylinder,pink,large,next to,cylinder,red,small,4
121,one small blue oval is next to one large red triangle,oval,blue,small,next to,triangle,red,large,3
122,there is a large blue rectangle below a small orange hexagon,rectangle,blue,large,below,hexagon,orange,small,2
123,a large cylinder is inside a large circle,cylinder,purple,large,inside,circle,red,large,5
124,a medium green cylinder is positioned to the left of a small purple cylinder,cylinder,green,medium,to the left of,cylinder,purple,small,6
125,a medium pink cylinder is below a medium blue pentagon,cylinder,pink,medium,below,pentagon,blue,medium,1
126,a large yellow sphere is to the right of a small purple circle,sphere,yellow,large,to the right of,circle,purple,small,1
127,a large purple sphere is positioned below a medium blue triangle,sphere,purple,large,below,triangle,blue,medium,6
128,a medium brown pentagon is above a small blue cube,pentagon,brown,medium,above,cube,blue,small,1
129,a green circle is above a pink circle,circle,green,small,above,circle,pink,medium,4
130,a large square is to the right of a small circle,square,red,large,to the right of,circle,red,small,5
131,a small yellow square is positioned to the right of a large brown cube,square,yellow,small,to the right of,cube,brown,large,6
132,a large orange rectangle is positioned below a small green cube,rectangle,orange,large,below,cube,green,small,6
133,an orange triangle is above a pink pentagon,triangle,orange,medium,above,pentagon,pink,medium,4
134,a small oval is inside a medium triangle,oval,red,small,inside,triangle,green,medium,5
135,a large triangle is next to a medium rectangle,triangle,orange,large,next to,rectangle,yellow,medium,5
136,a large orange cylinder is to the left of a large pink square,cylinder,orange,large,to the left of,square,pink,large,1
137,there is a large orange rectangle below a large blue cube,rectangle,orange,large,below,cube,blue,large,2
138,one large grey square is to the right of one large green square,square,grey,large,to the right of,square,green,large,3
139,a large orange cube is positioned to the left of a medium brown sphere,cube,orange,large,to the left of,sphere,brown,medium,6
140,a large blue oval is to the right of a medium grey cube,oval,blue,large,to the right of,cube,grey,medium,1
141,an orange cylinder is to the left of a brown hexagon,cylinder,orange,medium,to the left of,hexagon,brown,medium,4
142,a medium brown cube is inside a large blue square,cube,brown,medium,inside,square,blue,large,1
143,a brown circle is next to a green oval,circle,brown,small,next to,oval,green,medium,4
144,an orange cylinder is inside a pink hexagon,cylinder,orange,large,inside,hexagon,pink,large,4
145,a medium blue cube is positioned to the right of a medium blue oval,cube,blue,medium,to the right of,oval,blue,medium,6
146,a red hexagon is next to a pink rectangle,hexagon,red,medium,next to,rectangle,pink,large,4
147,one large grey hexagon is above one small brown hexagon,hexagon,grey,large,above,hexagon,brown,small,3
148,a medium orange square is positioned to the right of a medium green pentagon,square,orange,medium,to the right of,pentagon,green,medium,6
149,one small purple cylinder is to the right of one small blue sphere,cylinder,purple,small,to the right of,sphere,blue,small,3
150,a large green circle is positioned inside a small grey cylinder,circle,green,large,inside,cylinder,grey,small,6
151,a red circle is above an orange cylinder,circle,red,large,above,cylinder,orange,large,4
152,one large purple triangle is to the left of one large brown triangle,triangle,purple,large,to the left of,triangle,brown,large,3
153,a large purple oval is positioned inside a small yellow rectangle,oval,purple,large,inside,rectangle,yellow,small,6
154,a medium grey rectangle is positioned to the left of a large orange hexagon,rectangle,grey,medium,to the left of,hexagon,orange,large,6
155,one medium red rectangle is to the right of one large pink cylinder,rectangle,red,medium,to the right of,cylinder,pink,large,3
156,a small blue cube is positioned below a medium brown cylinder,cube,blue,small,below,cylinder,brown,medium,6
157,there is a small grey hexagon below a small brown triangle,hexagon,grey,small,below,triangle,brown,small,2
158,a medium triangle is below a small sphere,triangle,purple,medium,below,sphere,brown,small,5
159,one medium brown cube is to the right of one small orange rectangle,cube,brown,medium,to the right of,rectangle,orange,small,3
160,a large purple oval is positioned above a medium red hexagon,oval,purple,large,above,hexagon,red,medium,6
161,one medium yellow cube is to the left of one large pink circle,cube,yellow,medium,to the left of,circle,pink,large,3
162,a medium brown circle is next to a medium yellow oval,circle,brown,medium,next to,oval,yellow,medium,1
163,there is a small orange circle to the left of a large grey cube,circle,orange,small,to the left of,cube,grey,large,2
164,a yellow cube is below a yellow oval,cube,yellow,medium,below,oval,yellow,small,4
165,a medium sphere is to the right of a medium pentagon,sphere,brown,medium,to the right of,pentagon,green,medium,5
166,a blue hexagon is to the left of a brown circle,hexagon,blue,medium,to the left of,circle,brown,large,4
167,there is a medium blue triangle to the right of a large green cylinder,triangle,blue,medium,to the right of,cylinder,green,large,2
168,a large yellow cube is to the left of a small grey cylinder,cube,yellow,large,to the left of,cylinder,grey,small,1
169,a large oval is below a small triangle,oval,purple,large,below,triangle,orange,small,5
170,a large blue square is inside a large pink pentagon,square,blue,large,inside,pentagon,pink,large,1
171,one large purple square is to the right of one small yellow triangle,square,purple,large,to the right of,triangle,yellow,small,3
172,a large rectangle is below a small cube,rectangle,purple,large,below,cube,yellow,small,5
173,a large purple rectangle is positioned to the left of a large pink circle,rectangle,purple,large,to the left of,circle,pink,large,6
174,a small sphere is below a medium square,sphere,purple,small,below,square,brown,medium,5
175,there is a small pink square next to a small yellow cylinder,square,pink,small,next to,cylinder,yellow,small,2
176,a small rectangle is next to a medium hexagon,rectangle,orange,small,next to,hexagon,blue,medium,5
177,an orange sphere is next to a brown oval,sphere,orange,large,next to,oval,brown,small,4
178,there is a medium brown cylinder to the right of a large orange pentagon,cylinder,brown,medium,to the right of,pentagon,orange,large,2
179,a medium purple pentagon is to the left of a medium grey sphere,pentagon,purple,medium,to the left of,sphere,grey,medium,1
180,a medium pink circle is inside a small red cube,circle,pink,medium,inside,cube,red,small,1
181,there is a medium red circle above a small pink hexagon,circle,red,medium,above,hexagon,pink,small,2
182,there is a medium blue square above a small blue hexagon,square,blue,medium,above,hexagon,blue,small,2
183,one large blue pentagon is next to one small red triangle,pentagon,blue,large,next to,triangle,red,small,3
184,a medium pink rectangle is positioned next to a small red pentagon,rectangle,pink,medium,next to,pentagon,red,small,6
185,a small orange cube is positioned to the right of a medium pink cube,cube,orange,small,to the right of,cube,pink,medium,6
186,a medium orange pentagon is to the left of a small yellow cylinder,pentagon,orange,medium,to the left of,cylinder,yellow,small,1
187,there is a large purple cylinder above a large blue sphere,cylinder,purple,large,above,sphere,blue,large,2
188,there is a small red cylinder to the right of a small brown triangle,cylinder,red,small,to the right of,triangle,brown,small,2
189,a yellow hexagon is below a grey rectangle,hexagon,yellow,small,below,rectangle,grey,small,4
190,a medium yellow triangle is to the right of a medium orange square,triangle,yellow,medium,to the right of,square,orange,medium,1
191,there is a small brown cube next to a small yellow triangle,cube,brown,small,next to,triangle,yellow,small,2
192,a brown hexagon is to the left of an orange cylinder,hexagon,brown,large,to the left of,cylinder,orange,medium,4
193,a medium square is to the left of a small triangle,square,brown,medium,to the left of,triangle,yellow,small,5
194,one small pink cylinder is to the left of one small purple sphere,cylinder,pink,small,to the left of,sphere,purple,small,3
195,one small green rectangle is above one large brown cylinder,rectangle,green,small,above,cylinder,brown,large,3
196,there is a large green sphere above a large purple rectangle,sphere,green,large,above,rectangle,purple,large,2
197,there is a medium red circle below a small orange circle,circle,red,medium,below,circle,orange,small,2
198,a large square is inside a medium hexagon,square,grey,large,inside,hexagon,yellow,medium,5
199,one medium grey sphere is to the right of one small blue oval,sphere,grey,medium,to the right of,oval,blue,small,3
200,a green cube is below a green pentagon,cube,green,small,below,pentagon,green,medium,4
201,a large brown square is inside a medium yellow square,square,brown,large,inside,square,yellow,medium,1
202,a large red pentagon is next to a small red hexagon,pentagon,red,large,next to,hexagon,red,small,1
203,one large purple sphere is to the right of one medium yellow rectangle,sphere,purple,large,to the right of,rectangle,yellow,medium,3
204,a large square is inside a large rectangle,square,green,large,inside,rectangle,green,large,5
205,a blue oval is below a brown sphere,oval,blue,medium,below,sphere,brown,large,4
206,one small brown cube is inside one large blue rectangle,cube,brown,small,inside,rectangle,blue,large,3
207,there is a medium brown hexagon next to a small brown pentagon,hexagon,brown,medium,next to,pentagon,brown,small,2
208,one small blue circle is to the right of one large purple pentagon,circle,blue,small,to the right of,pentagon,purple,large,3
209,a medium blue oval is next to a medium yellow sphere,oval,blue,medium,next to,sphere,yellow,medium,1
210,a medium pink cube is positioned to the right of a large grey circle,cube,pink,medium,to the right of,circle,grey,large,6
211,a large circle is above a small circle,circle,brown,large,above,circle,blue,small,5
212,one medium purple rectangle is to the left of one large brown triangle,rectangle,purple,medium,to the left of,triangle,brown,large,3
213,a purple square is next to a yellow triangle,square,purple,small,next to,triangle,yellow,large,4
214,a large grey square is to the left of a small yellow triangle,square,grey,large,to the left of,triangle,yellow,small,1
215,a medium pink circle is positioned to the right of a small pink hexagon,circle,pink,medium,to the right of,hexagon,pink,small,6
216,a small orange sphere is positioned above a large grey hexagon,sphere,orange,small,above,hexagon,grey,large,6
217,there is a medium blue circle above a medium grey square,circle,blue,medium,above,square,grey,medium,2
218,one large green hexagon is above one large grey sphere,hexagon,green,large,above,sphere,grey,large,3
219,one large brown triangle is below one medium purple circle,triangle,brown,large,below,circle,purple,medium,3
220,a large grey oval is next to a small blue oval,oval,grey,large,next to,oval,blue,small,1
221,a medium brown square is inside a large grey pentagon,square,brown,medium,inside,pentagon,grey,large,1
222,one large blue triangle is to the left of one large yellow cube,triangle,blue,large,to the left of,cube,yellow,large,3
223,one large grey oval is above one small orange hexagon,oval,grey,large,above,hexagon,orange,small,3
224,a large orange sphere is positioned below a small blue cube,sphere,orange,large,below,cube,blue,small,6
225,a large cylinder is to the right of a small cube,cylinder,pink,large,to the right of,cube,orange,small,5
226,a brown circle is to the left of a brown cylinder,circle,brown,large,to the left of,cylinder,brown,large,4
227,a medium grey sphere is positioned inside a medium red triangle,sphere,grey,medium,inside,triangle,red,medium,6
228,there is a small blue cube to the left of a large blue oval,cube,blue,small,to the left of,oval,blue,large,2
229,one medium yellow pentagon is to the right of one medium pink triangle,pentagon,yellow,medium,to the right of,triangle,pink,medium,3
230,there is a small grey cylinder to the right of a small purple hexagon,cylinder,grey,small,to the right of,hexagon,purple,small,2
231,one medium red circle is next to one large red cylinder,circle,red,medium,next to,cylinder,red,large,3
232,there is a small green pentagon above a large red cylinder,pentagon,green,small,above,cylinder,red,large,2
233,a small red rectangle is to the left of a medium purple square,rectangle,red,small,to the left of,square,purple,medium,1
234,a small purple rectangle is positioned below a small yellow hexagon,rectangle,purple,small,below,hexagon,yellow,small,6
235,there is a small blue square above a medium brown pentagon,square,blue,small,above,pentagon,brown,medium,2
236,one large green hexagon is below one small purple square,hexagon,green,large,below,square,purple,small,3
237,there is a large brown circle inside a medium red circle,circle,brown,large,inside,circle,red,medium,2
238,one large orange cube is above one small purple pentagon,cube,orange,large,above,pentagon,purple,small,3
239,a purple sphere is next to a purple square,sphere,purple,medium,next to,square,purple,medium,4
240,a pink hexagon is to the left of a red triangle,hexagon,pink,large,to the left of,triangle,red,medium,4
241,a small cylinder is below a medium cylinder,cylinder,brown,small,below,cylinder,blue,medium,5
242,there is a large green oval to the right of a large yellow pentagon,oval,green,large,to the right of,pentagon,yellow,large,2
243,one medium brown square is inside one large purple hexagon,square,brown,medium,inside,hexagon,purple,large,3
244,there is a large brown cube inside a medium red triangle,cube,brown,large,inside,triangle,red,medium,2
245,a blue cube is to the left of a yellow rectangle,cube,blue,medium,to the left of,rectangle,yellow,small,4
246,a small purple oval is inside a medium orange cylinder,oval,purple,small,inside,cylinder,orange,medium,1
247,a green hexagon is inside a red pentagon,hexagon,green,large,inside,pentagon,red,small,4
248,there is a medium red cube below a medium pink hexagon,cube,red,medium,below,hexagon,pink,medium,2
249,a large red sphere is above a small pink sphere,sphere,red,large,above,sphere,pink,small,1
250,a large orange cylinder is to the left of a medium pink pentagon,cylinder,orange,large,to the left of,pentagon,pink,medium,1
251,a brown triangle is to the right of a pink square,triangle,brown,small,to the right of,square,pink,medium,4
252,a large grey triangle is positioned below a large yellow square,triangle,grey,large,below,square,yellow,large,6
253,a medium sphere is to the right of a medium cube,sphere,grey,medium,to the right of,cube,grey,medium,5
254,a medium red cube is next to a large green sphere,cube,red,medium,next to,sphere,green,large,1
255,there is a medium yellow square to the left of a medium orange hexagon,square,yellow,medium,to the left of,hexagon,orange,medium,2
256,a large red cube is to the left of a small purple pentagon,cube,red,large,to the left of,pentagon,purple,small,1
257,there is a medium green square above a large purple sphere,square,green,medium,above,sphere,purple,large,2
258,a small square is inside a large hexagon,square,pink,small,inside,hexagon,brown,large,5
259,one large green cube is below one large blue circle,cube,green,large,below,circle,blue,large,3
260,a small square is below a large triangle,square,green,small,below,triangle,orange,large,5
261,a large blue oval is positioned below a small grey square,oval,blue,large,below,square,grey,small,6
262,there is a small green triangle to the right of a large red sphere,triangle,green,small,to the right of,sphere,red,large,2
263,one large grey rectangle is below one small orange pentagon,rectangle,grey,large,below,pentagon,orange,small,3
264,a purple rectangle is to the right of a green rectangle,rectangle,purple,medium,to the right of,rectangle,green,medium,4
265,there is a large red square inside a medium brown square,square,red,large,inside,square,brown,medium,2
266,one medium brown hexagon is next to one medium yellow square,hexagon,brown,medium,next to,square,yellow,medium,3
267,one medium green cylinder is below one large blue cube,cylinder,green,medium,below,cube,blue,large,3
268,a small brown oval is next to a large yellow square,oval,brown,small,next to,square,yellow,large,1
269,a large red oval is positioned inside a large green oval,oval,red,large,inside,oval,green,large,6
270,there is a large pink oval below a large yellow rectangle,oval,pink,large,below,rectangle,yellow,large,2
271,a small purple circle is to the right of a small pink hexagon,circle,purple,small,to the right of,hexagon,pink,small,1
272,there is a small yellow rectangle to the left of a large pink square,rectangle,yellow,small,to the left of,square,pink,large,2
273,a large cylinder is above a small circle,cylinder,blue,large,above,circle,purple,small,5
274,a large blue sphere is positioned inside a medium blue pentagon,sphere,blue,large,inside,pentagon,blue,medium,6
275,a small purple pentagon is positioned to the right of a small purple sphere,pentagon,purple,small,to the right of,sphere,purple,small,6
276,one medium grey hexagon is below one large pink square,hexagon,grey,medium,below,square,pink,large,3
277,one small yellow cube is to the left of one small brown cube,cube,yellow,small,to the left of,cube,brown,small,3
278,one small green circle is inside one small orange hexagon,circle,green,small,inside,hexagon,orange,small,3
279,one medium red square is next to one small blue cylinder,square,red,medium,next to,cylinder,blue,small,3
280,a large brown hexagon is positioned above a large red oval,hexagon,brown,large,above,oval,red,large,6
281,a small rectangle is below a small circle,rectangle,yellow,small,below,circle,pink,small,5
282,a pink oval is above a purple cylinder,oval,pink,large,above,cylinder,purple,large,4
283,there is a medium purple triangle next to a large grey square,triangle,purple,medium,next to,square,grey,large,2
284,there is a large blue rectangle to the right of a medium blue cube,rectangle,blue,large,to the right of,cube,blue,medium,2
285,a large pink cylinder is positioned next to a medium brown hexagon,cylinder,pink,large,next to,hexagon,brown,medium,6
286,a small blue cylinder is positioned below a medium orange cylinder,cylinder,blue,small,below,cylinder,orange,medium,6
287,a large sphere is to the left of a medium rectangle,sphere,orange,large,to the left of,rectangle,blue,medium,5
288,one medium blue cylinder is inside one small grey sphere,cylinder,blue,medium,inside,sphere,grey,small,3
289,there is a small brown cylinder to the right of a medium grey rectangle,cylinder,brown,small,to the right of,rectangle,grey,medium,2
290,there is a medium orange square to the left of a large grey pentagon,square,orange,medium,to the left of,pentagon,grey,large,2
291,a small cylinder is below a medium sphere,cylinder,brown,small,below,sphere,yellow,medium,5
292,there is a small orange pentagon inside a large purple sphere,pentagon,orange,small,inside,sphere,purple,large,2
293,a medium orange sphere is below a small brown circle,sphere,orange,medium,below,circle,brown,small,1
294,a small orange cube is next to a small grey triangle,cube,orange,small,next to,triangle,grey,small,1
295,a medium square is inside a medium oval,square,red,medium,inside,oval,blue,medium,5
296,a blue hexagon is above a brown circle,hexagon,blue,medium,above,circle,brown,medium,4
297,a medium orange oval is to the right of a small pink hexagon,oval,orange,medium,to the right of,hexagon,pink,small,1
298,there is a large blue rectangle to the left of a large green square,rectangle,blue,large,to the left of,square,green,large,2
299,a medium pink pentagon is positioned inside a medium red cylinder,pentagon,pink,medium,inside,cylinder,red,medium,6
300,one small grey pentagon is next to one medium orange cube,pentagon,grey,small,next to,cube,orange,medium,3
301,one small green pentagon is to the left of one large brown cylinder,pentagon,green,small,to the left of,cylinder,brown,large,3
302,one small red oval is next to one small brown cylinder,oval,red,small,next to,cylinder,brown,small,3
303,a medium triangle is above a medium oval,triangle,red,medium,above,oval,blue,medium,5
304,a medium purple hexagon is positioned to the right of a small pink cylinder,hexagon,purple,medium,to the right of,cylinder,pink,small,6
305,a large orange cube is positioned below a small pink rectangle,cube,orange,large,below,rectangle,pink,small,6
306,one large pink hexagon is to the right of one small grey cylinder,hexagon,pink,large,to the right of,cylinder,grey,small,3
307,a small brown pentagon is next to a small purple circle,pentagon,brown,small,next to,circle,purple,small,1
308,a small pentagon is to the left of a small rectangle,pentagon,pink,small,to the left of,rectangle,pink,small,5
309,a pink cube is to the left of a grey square,cube,pink,small,to the left of,square,grey,large,4
310,a medium yellow triangle is positioned to the right of a large purple oval,triangle,yellow,medium,to the right of,oval,purple,large,6
311,there is a small pink square below a medium green triangle,square,pink,small,below,triangle,green,medium,2
312,a small purple cube is positioned below a large blue cylinder,cube,purple,small,below,cylinder,blue,large,6
313,there is a large green oval to the right of a large blue cube,oval,green,large,to the right of,cube,blue,large,2
