sentence_id,sentence,number,num_digits,colour,size,template_id
118,an orange number 65 of medium size,65,2,orange,medium,3
119,a grey number 761 of large size,761,3,grey,large,3
120,a large pink 8885,8885,4,pink,large,1
121,a small 9 in yellow colour,9,1,yellow,small,4
122,a large yellow number 4024,4024,4,yellow,large,5
123,a pink number 10 of small size,10,2,pink,small,3
124,a medium pink 95,95,2,pink,medium,1
125,a medium green 8374,8374,4,green,medium,1
126,a small yellow number 410,410,3,yellow,small,5
127,a medium orange number 4279,4279,4,orange,medium,5
128,a medium 546 in blue colour,546,3,blue,medium,4
129,a pink number 98 of medium size,98,2,pink,medium,3
130,a small orange number 819,819,3,orange,small,5
131,the number 450 in purple colour and medium size,450,3,purple,medium,2
132,a grey number 546 of medium size,546,3,grey,medium,3
133,a brown number 781 of small size,781,3,brown,small,3
134,the number 4 in yellow colour and large size,4,1,yellow,large,2
135,a small 4391 in red colour,4391,4,red,small,4
136,a medium brown 678,678,3,brown,medium,1
137,the number 43 in blue colour and medium size,43,2,blue,medium,2
138,the number 62 in green colour and medium size,62,2,green,medium,2
139,a yellow number 1825 of large size,1825,4,yellow,large,3
140,the number 1 in grey colour and large size,1,1,grey,large,2
141,a small grey number 9,9,1,grey,small,5
142,a purple number 1 of small size,1,1,purple,small,3
143,a small blue number 6098,6098,4,blue,small,5
144,a large red number 901,901,3,red,large,5
145,a medium yellow number 66,66,2,yellow,medium,5
146,a red number 7 of large size,7,1,red,large,3
147,the number 55 in yellow colour and small size,55,2,yellow,small,2
148,a medium yellow number 113,113,3,yellow,medium,5
149,a small green number 592,592,3,green,small,5
150,the number 76 in blue colour and medium size,76,2,blue,medium,2
151,the number 494 in orange colour and medium size,494,3,orange,medium,2
152,a medium orange number 776,776,3,orange,medium,5
153,a small yellow number 1247,1247,4,yellow,small,5
154,a large yellow 3567,3567,4,yellow,large,1
155,the number 66 in pink colour and medium size,66,2,pink,medium,2
156,a small green number 38,38,2,green,small,5
157,the number 23 in blue colour and large size,23,2,blue,large,2
158,a medium 17 in green colour,17,2,green,medium,4
159,a large green number 421,421,3,green,large,5
160,a red number 14 of medium size,14,2,red,medium,3
161,a medium blue number 524,524,3,blue,medium,5
162,a green number 2 of large size,2,1,green,large,3
163,a yellow number 73 of small size,73,2,yellow,small,3
164,a medium 6 in purple colour,6,1,purple,medium,4
165,a small yellow 7286,7286,4,yellow,small,1
166,the number 1 in purple colour and small size,1,1,purple,small,2
167,a large brown 1,1,1,brown,large,1
168,a small 11 in grey colour,11,2,grey,small,4
169,a large 75 in yellow colour,75,2,yellow,large,4
170,a large grey number 1,1,1,grey,large,5
171,a medium 7 in grey colour,7,1,grey,medium,4
172,the number 16 in red colour and small size,16,2,red,small,2
173,a blue number 37 of medium size,37,2,blue,medium,3
174,the number 8 in green colour and small size,8,1,green,small,2
175,a pink number 4499 of medium size,4499,4,pink,medium,3
176,the number 302 in green colour and medium size,302,3,green,medium,2
177,a small blue 4337,4337,4,blue,small,1
178,a small pink number 292,292,3,pink,small,5
179,a medium blue 491,491,3,blue,medium,1
180,a small 9574 in green colour,9574,4,green,small,4
181,a large 22 in yellow colour,22,2,yellow,large,4
182,a small orange 1,1,1,orange,small,1
183,the number 63 in brown colour and medium size,63,2,brown,medium,2
184,a large orange 85,85,2,orange,large,1
185,the number 107 in yellow colour and medium size,107,3,yellow,medium,2
186,a large yellow 62,62,2,yellow,large,1
187,the number 5593 in blue colour and large size,5593,4,blue,large,2
188,a medium brown number 114,114,3,brown,medium,5
189,a medium blue 6,6,1,blue,medium,1
190,the number 198 in grey colour and medium size,198,3,grey,medium,2
191,a medium grey 53,53,2,grey,medium,1
192,a medium purple number 79,79,2,purple,medium,5
193,a small 151 in pink colour,151,3,pink,small,4
194,a large 7 in purple colour,7,1,purple,large,4
195,a large brown 751,751,3,brown,large,1
196,a red number 48 of medium size,48,2,red,medium,3
197,a small red number 7755,7755,4,red,small,5
198,the number 9325 in yellow colour and small size,9325,4,yellow,small,2
199,a small 9480 in orange colour,9480,4,orange,small,4
200,a small pink 590,590,3,pink,small,1
201,a medium red number 4838,4838,4,red,medium,5
202,a medium 9 in brown colour,9,1,brown,medium,4
203,the number 3 in green colour and small size,3,1,green,small,2
204,a large blue number 597,597,3,blue,large,5
205,a grey number 4 of small size,4,1,grey,small,3
206,a small 2 in red colour,2,1,red,small,4
207,a medium grey 3,3,1,grey,medium,1
208,a large red 4904,4904,4,red,large,1
209,a red number 6 of small size,6,1,red,small,3
210,a small red number 155,155,3,red,small,5
211,a small blue 90,90,2,blue,small,1
212,a green number 684 of small size,684,3,green,small,3
213,a medium grey 4,4,1,grey,medium,1
214,a small yellow number 64,64,2,yellow,small,5
215,a large pink 1,1,1,pink,large,1
216,a medium green 4,4,1,green,medium,1
217,a small yellow 588,588,3,yellow,small,1
218,a purple number 1844 of small size,1844,4,purple,small,3
219,a medium 191 in pink colour,191,3,pink,medium,4
220,the number 504 in purple colour and small size,504,3,purple,small,2
221,the number 257 in orange colour and small size,257,3,orange,small,2
222,an orange number 351 of large size,351,3,orange,large,3
223,a small 148 in brown colour,148,3,brown,small,4
224,a small 82 in yellow colour,82,2,yellow,small,4
225,a large purple 59,59,2,purple,large,1
226,a small green 182,182,3,green,small,1
227,the number 330 in green colour and medium size,330,3,green,medium,2
228,a grey number 9 of medium size,9,1,grey,medium,3
229,a large purple 403,403,3,purple,large,1
230,a small 4 in purple colour,4,1,purple,small,4
231,a small 485 in red colour,485,3,red,small,4
232,a yellow number 834 of large size,834,3,yellow,large,3
233,a green number 9 of medium size,9,1,green,medium,3
234,a yellow number 7711 of medium size,7711,4,yellow,medium,3
235,a small 5086 in purple colour,5086,4,purple,small,4
236,a large green number 2,2,1,green,large,5
237,a large 2234 in red colour,2234,4,red,large,4
238,a medium red 3600,3600,4,red,medium,1
239,a medium grey 9480,9480,4,grey,medium,1
240,a large pink 56,56,2,pink,large,1
241,a medium pink 8234,8234,4,pink,medium,1
242,a medium yellow 84,84,2,yellow,medium,1
243,a small blue number 50,50,2,blue,small,5
244,a medium purple 5,5,1,purple,medium,1
245,the number 88 in pink colour and small size,88,2,pink,small,2
246,the number 10 in red colour and large size,10,2,red,large,2
247,a medium 12 in orange colour,12,2,orange,medium,4
248,a large yellow number 9309,9309,4,yellow,large,5
249,the number 5 in red colour and large size,5,1,red,large,2
250,the number 7605 in blue colour and medium size,7605,4,blue,medium,2
251,an orange number 6 of small size,6,1,orange,small,3
252,the number 783 in purple colour and large size,783,3,purple,large,2
253,the number 5 in purple colour and large size,5,1,purple,large,2
254,a purple number 8 of medium size,8,1,purple,medium,3
255,a grey number 473 of small size,473,3,grey,small,3
256,a large yellow number 4835,4835,4,yellow,large,5
257,the number 8 in brown colour and medium size,8,1,brown,medium,2
258,a pink number 2 of small size,2,1,pink,small,3
259,a medium grey number 1,1,1,grey,medium,5
260,a green number 2715 of small size,2715,4,green,small,3
261,a small pink number 5,5,1,pink,small,5
262,a medium red number 6,6,1,red,medium,5
263,a purple number 199 of small size,199,3,purple,small,3
264,a medium 231 in red colour,231,3,red,medium,4
265,a large grey number 696,696,3,grey,large,5
266,a medium brown 64,64,2,brown,medium,1
267,a medium 89 in pink colour,89,2,pink,medium,4
268,the number 5 in brown colour and medium size,5,1,brown,medium,2
269,a large red 8805,8805,4,red,large,1
270,a large 9965 in pink colour,9965,4,pink,large,4
271,a large blue 6,6,1,blue,large,1
272,a red number 3 of large size,3,1,red,large,3
273,a large green 9,9,1,green,large,1
274,a large 444 in blue colour,444,3,blue,large,4
275,a large purple number 4,4,1,purple,large,5
276,a medium brown number 16,16,2,brown,medium,5
277,the number 9034 in yellow colour and large size,9034,4,yellow,large,2
278,a small orange 2036,2036,4,orange,small,1
279,a large grey 6502,6502,4,grey,large,1
280,an orange number 480 of small size,480,3,orange,small,3
281,a medium purple 2,2,1,purple,medium,1
282,a small 7367 in blue colour,7367,4,blue,small,4
283,a large green number 140,140,3,green,large,5
284,a large 88 in brown colour,88,2,brown,large,4
285,a small red number 735,735,3,red,small,5
286,a large 6 in pink colour,6,1,pink,large,4
287,a medium purple 9,9,1,purple,medium,1
288,an orange number 267 of medium size,267,3,orange,medium,3
289,a medium brown 82,82,2,brown,medium,1
290,a medium 8198 in brown colour,8198,4,brown,medium,4
291,the number 5047 in grey colour and large size,5047,4,grey,large,2
292,a large green number 967,967,3,green,large,5
293,a large red number 4640,4640,4,red,large,5
294,a blue number 307 of small size,307,3,blue,small,3
295,a large 4100 in purple colour,4100,4,purple,large,4
296,a medium green 796,796,3,green,medium,1
297,the number 5 in grey colour and small size,5,1,grey,small,2
298,the number 7029 in pink colour and large size,7029,4,pink,large,2
299,a large brown number 9119,9119,4,brown,large,5
300,the number 1940 in brown colour and large size,1940,4,brown,large,2
301,an orange number 9 of small size,9,1,orange,small,3
302,a small grey 8,8,1,grey,small,1
303,a small brown number 2757,2757,4,brown,small,5
304,a large pink 365,365,3,pink,large,1
305,the number 5687 in yellow colour and large size,5687,4,yellow,large,2
306,the number 2669 in brown colour and large size,2669,4,brown,large,2
307,the number 827 in yellow colour and large size,827,3,yellow,large,2
308,a small 236 in pink colour,236,3,pink,small,4
309,an orange number 3 of large size,3,1,orange,large,3
310,a large 4 in blue colour,4,1,blue,large,4
311,a medium 579 in grey colour,579,3,grey,medium,4
312,a green number 780 of small size,780,3,green,small,3
313,a yellow number 417 of medium size,417,3,yellow,medium,3
314,an orange number 7 of medium size,7,1,orange,medium,3
315,an orange number 135 of small size,135,3,orange,small,3
316,a small orange number 66,66,2,orange,small,5
317,a large 24 in purple colour,24,2,purple,large,4
318,an orange number 4 of large size,4,1,orange,large,3
319,a small purple number 40,40,2,purple,small,5
320,the number 7144 in blue colour and small size,7144,4,blue,small,2
321,the number 1549 in orange colour and large size,1549,4,orange,large,2
322,a large red 3481,3481,4,red,large,1
323,a large pink number 19,19,2,pink,large,5
324,a grey number 9746 of small size,9746,4,grey,small,3
325,a brown number 80 of small size,80,2,brown,small,3
326,a purple number 74 of large size,74,2,purple,large,3
327,the number 2782 in brown colour and medium size,2782,4,brown,medium,2
328,a brown number 60 of medium size,60,2,brown,medium,3
329,a small purple 8867,8867,4,purple,small,1
330,a small green number 7080,7080,4,green,small,5
331,a medium 318 in pink colour,318,3,pink,medium,4
332,a yellow number 8786 of small size,8786,4,yellow,small,3
333,the number 2 in orange colour and small size,2,1,orange,small,2
334,a large red 155,155,3,red,large,1
335,the number 44 in pink colour and small size,44,2,pink,small,2
336,the number 6 in pink colour and medium size,6,1,pink,medium,2
337,a small orange number 7,7,1,orange,small,5
338,a grey number 98 of medium size,98,2,grey,medium,3
339,a medium purple number 929,929,3,purple,medium,5
340,a medium brown 50,50,2,brown,medium,1
341,a medium pink number 1,1,1,pink,medium,5
342,the number 8326 in blue colour and medium size,8326,4,blue,medium,2
343,a small purple number 4,4,1,purple,small,5
344,the number 12 in orange colour and large size,12,2,orange,large,2
345,a small green number 48,48,2,green,small,5
346,a large 566 in grey colour,566,3,grey,large,4
347,a large purple number 2042,2042,4,purple,large,5
348,a small green 615,615,3,green,small,1
349,the number 9458 in grey colour and medium size,9458,4,grey,medium,2
350,the number 498 in purple colour and large size,498,3,purple,large,2
351,a small green number 98,98,2,green,small,5
352,a medium pink number 198,198,3,pink,medium,5
353,a medium 5435 in red colour,5435,4,red,medium,4
354,a large 276 in green colour,276,3,green,large,4
355,a large grey 75,75,2,grey,large,1
356,a small green number 1,1,1,green,small,5
357,a small 6665 in orange colour,6665,4,orange,small,4
358,a medium brown number 120,120,3,brown,medium,5
359,a small brown 28,28,2,brown,small,1
360,a grey number 7 of small size,7,1,grey,small,3
361,a small yellow 110,110,3,yellow,small,1
362,a small green 52,52,2,green,small,1
363,a red number 7996 of medium size,7996,4,red,medium,3
364,a medium 75 in grey colour,75,2,grey,medium,4
365,a grey number 49 of medium size,49,2,grey,medium,3
366,a medium 6 in brown colour,6,1,brown,medium,4
367,a green number 4 of small size,4,1,green,small,3
368,a medium 4 in purple colour,4,1,purple,medium,4
369,a blue number 6677 of small size,6677,4,blue,small,3
370,a medium blue number 8104,8104,4,blue,medium,5
371,a small orange 557,557,3,orange,small,1
372,the number 8 in purple colour and small size,8,1,purple,small,2
373,a red number 1 of small size,1,1,red,small,3
374,a purple number 323 of small size,323,3,purple,small,3
375,a small red number 8,8,1,red,small,5
376,a purple number 45 of large size,45,2,purple,large,3
377,a small 39 in grey colour,39,2,grey,small,4
378,a yellow number 914 of large size,914,3,yellow,large,3
379,a green number 17 of medium size,17,2,green,medium,3
380,a red number 89 of small size,89,2,red,small,3
381,a large 7556 in yellow colour,7556,4,yellow,large,4
382,a medium 7949 in yellow colour,7949,4,yellow,medium,4
383,the number 7828 in pink colour and small size,7828,4,pink,small,2
384,the number 2 in red colour and small size,2,1,red,small,2
385,a brown number 3 of large size,3,1,brown,large,3
386,a purple number 25 of medium size,25,2,purple,medium,3
387,the number 9 in pink colour and medium size,9,1,pink,medium,2
388,a red number 5 of large size,5,1,red,large,3
389,a green number 254 of medium size,254,3,green,medium,3
390,a large 5 in blue colour,5,1,blue,large,4
391,a large green 4,4,1,green,large,1
392,a small grey number 443,443,3,grey,small,5
393,a small red 77,77,2,red,small,1
394,a small red number 76,76,2,red,small,5
395,an orange number 493 of large size,493,3,orange,large,3
396,a medium 135 in purple colour,135,3,purple,medium,4
397,the number 938 in red colour and large size,938,3,red,large,2
398,a medium 32 in pink colour,32,2,pink,medium,4
399,a medium 966 in purple colour,966,3,purple,medium,4
400,a brown number 278 of small size,278,3,brown,small,3
401,a pink number 6556 of medium size,6556,4,pink,medium,3
402,the number 8351 in brown colour and small size,8351,4,brown,small,2
403,the number 85 in pink colour and large size,85,2,pink,large,2
404,a green number 96 of small size,96,2,green,small,3
405,a medium yellow number 31,31,2,yellow,medium,5
406,a small blue number 9270,9270,4,blue,small,5
407,a yellow number 25 of medium size,25,2,yellow,medium,3
408,a small red number 941,941,3,red,small,5
409,a small 872 in brown colour,872,3,brown,small,4
410,a grey number 798 of medium size,798,3,grey,medium,3
411,a large yellow number 9812,9812,4,yellow,large,5
412,a large 1 in yellow colour,1,1,yellow,large,4
413,a yellow number 105 of small size,105,3,yellow,small,3
414,a large 61 in yellow colour,61,2,yellow,large,4
415,a large 2 in green colour,2,1,green,large,4
416,a medium 284 in brown colour,284,3,brown,medium,4
417,a large orange number 25,25,2,orange,large,5
418,a large green 80,80,2,green,large,1
419,the number 8247 in green colour and large size,8247,4,green,large,2
420,a yellow number 4898 of small size,4898,4,yellow,small,3
421,the number 826 in brown colour and large size,826,3,brown,large,2
422,a medium blue number 44,44,2,blue,medium,5
423,a medium 4819 in blue colour,4819,4,blue,medium,4
424,a small brown 641,641,3,brown,small,1
425,a green number 6 of small size,6,1,green,small,3
426,a pink number 40 of large size,40,2,pink,large,3
427,a purple number 5313 of medium size,5313,4,purple,medium,3
428,a large pink number 5,5,1,pink,large,5
429,a red number 8 of large size,8,1,red,large,3
430,a medium green number 66,66,2,green,medium,5
431,a pink number 56 of small size,56,2,pink,small,3
432,a small red number 4,4,1,red,small,5
433,a red number 197 of medium size,197,3,red,medium,3
434,a small red 1,1,1,red,small,1
435,a medium orange number 812,812,3,orange,medium,5
436,a small yellow number 95,95,2,yellow,small,5
437,a large orange 81,81,2,orange,large,1
438,a pink number 8 of small size,8,1,pink,small,3
439,a yellow number 559 of small size,559,3,yellow,small,3
440,a pink number 320 of small size,320,3,pink,small,3
441,a brown number 431 of small size,431,3,brown,small,3
442,a large blue 7,7,1,blue,large,1
443,a small green 3,3,1,green,small,1
444,a large pink number 78,78,2,pink,large,5
445,the number 63 in purple colour and small size,63,2,purple,small,2
446,the number 6 in blue colour and small size,6,1,blue,small,2
447,a large 5 in orange colour,5,1,orange,large,4
448,a grey number 522 of large size,522,3,grey,large,3
449,a medium green 5,5,1,green,medium,1
450,the number 9 in orange colour and large size,9,1,orange,large,2
451,a large orange 61,61,2,orange,large,1
452,a large blue 27,27,2,blue,large,1
453,a large 3 in yellow colour,3,1,yellow,large,4
454,a yellow number 605 of small size,605,3,yellow,small,3
455,a small yellow number 154,154,3,yellow,small,5
456,a large pink 339,339,3,pink,large,1
457,the number 3 in brown colour and large size,3,1,brown,large,2
458,a medium purple number 4,4,1,purple,medium,5
459,a small green number 755,755,3,green,small,5
460,a small blue number 416,416,3,blue,small,5
461,a grey number 72 of large size,72,2,grey,large,3
462,a small pink number 84,84,2,pink,small,5
463,a large 5549 in pink colour,5549,4,pink,large,4
464,a purple number 9 of medium size,9,1,purple,medium,3
465,a small 6721 in yellow colour,6721,4,yellow,small,4
466,a medium yellow number 4134,4134,4,yellow,medium,5
467,a medium 899 in purple colour,899,3,purple,medium,4
468,the number 76 in green colour and small size,76,2,green,small,2
469,the number 377 in blue colour and large size,377,3,blue,large,2
470,the number 423 in brown colour and medium size,423,3,brown,medium,2
471,a small 9231 in purple colour,9231,4,purple,small,4
472,the number 6 in grey colour and large size,6,1,grey,large,2
473,the number 147 in grey colour and large size,147,3,grey,large,2
474,a medium blue 57,57,2,blue,medium,1
475,a medium green 6,6,1,green,medium,1
476,the number 22 in blue colour and medium size,22,2,blue,medium,2
477,the number 5 in yellow colour and large size,5,1,yellow,large,2
478,a large yellow number 8529,8529,4,yellow,large,5
479,the number 33 in red colour and small size,33,2,red,small,2
480,a large 894 in red colour,894,3,red,large,4
481,a large purple number 9171,9171,4,purple,large,5
482,the number 569 in red colour and large size,569,3,red,large,2
483,a medium 9 in grey colour,9,1,grey,medium,4
484,a medium 774 in red colour,774,3,red,medium,4
485,a large yellow number 70,70,2,yellow,large,5
486,the number 1685 in brown colour and large size,1685,4,brown,large,2
487,the number 1344 in red colour and large size,1344,4,red,large,2
488,a small purple 4260,4260,4,purple,small,1
489,a small yellow number 273,273,3,yellow,small,5
490,a small grey 7,7,1,grey,small,1
491,a small 566 in purple colour,566,3,purple,small,4
492,a large green 319,319,3,green,large,1
493,a medium red 5295,5295,4,red,medium,1
494,a medium red 78,78,2,red,medium,1
495,a large yellow 5517,5517,4,yellow,large,1
496,a purple number 69 of medium size,69,2,purple,medium,3
497,a small red number 5669,5669,4,red,small,5
498,a small 8 in purple colour,8,1,purple,small,4
499,a small 6 in green colour,6,1,green,small,4
500,a medium pink number 4,4,1,pink,medium,5
501,a small orange number 3288,3288,4,orange,small,5
502,a large 84 in orange colour,84,2,orange,large,4
503,a large red 337,337,3,red,large,1
504,the number 8630 in orange colour and medium size,8630,4,orange,medium,2
505,a yellow number 5036 of small size,5036,4,yellow,small,3
506,the number 1 in pink colour and large size,1,1,pink,large,2
507,a large yellow 72,72,2,yellow,large,1
508,a small 439 in purple colour,439,3,purple,small,4
509,the number 671 in grey colour and medium size,671,3,grey,medium,2
510,a small red 1482,1482,4,red,small,1
511,a small 4947 in brown colour,4947,4,brown,small,4
512,a large pink 3016,3016,4,pink,large,1
513,a pink number 2110 of large size,2110,4,pink,large,3
514,a medium pink number 686,686,3,pink,medium,5
515,the number 8720 in brown colour and small size,8720,4,brown,small,2
516,an orange number 8865 of large size,8865,4,orange,large,3
517,a large 311 in brown colour,311,3,brown,large,4
518,a medium 676 in blue colour,676,3,blue,medium,4
519,a red number 37 of small size,37,2,red,small,3
520,a small 44 in brown colour,44,2,brown,small,4
521,a small yellow number 8,8,1,yellow,small,5
522,a medium green number 1096,1096,4,green,medium,5
523,a small 203 in red colour,203,3,red,small,4
524,a pink number 6 of small size,6,1,pink,small,3
525,a small purple 4320,4320,4,purple,small,1
526,a yellow number 16 of medium size,16,2,yellow,medium,3
527,a large 66 in orange colour,66,2,orange,large,4
528,a large brown 5331,5331,4,brown,large,1
529,a green number 49 of small size,49,2,green,small,3
530,the number 657 in orange colour and small size,657,3,orange,small,2
531,a purple number 11 of small size,11,2,purple,small,3
532,a brown number 973 of large size,973,3,brown,large,3
533,an orange number 204 of small size,204,3,orange,small,3
534,a large green 54,54,2,green,large,1
535,a medium 9640 in yellow colour,9640,4,yellow,medium,4
536,a large red number 894,894,3,red,large,5
537,a grey number 12 of large size,12,2,grey,large,3
538,a small orange number 464,464,3,orange,small,5
539,a medium 20 in yellow colour,20,2,yellow,medium,4
540,a small brown number 7909,7909,4,brown,small,5
541,a medium 93 in pink colour,93,2,pink,medium,4
542,a pink number 5518 of medium size,5518,4,pink,medium,3
543,a large red 724,724,3,red,large,1
544,a small brown number 1746,1746,4,brown,small,5
545,a large yellow 373,373,3,yellow,large,1
546,a small 833 in yellow colour,833,3,yellow,small,4
547,a grey number 9432 of medium size,9432,4,grey,medium,3
548,a medium yellow 9350,9350,4,yellow,medium,1
549,a purple number 242 of medium size,242,3,purple,medium,3
550,a medium 206 in grey colour,206,3,grey,medium,4
551,a red number 787 of small size,787,3,red,small,3
552,the number 682 in yellow colour and medium size,682,3,yellow,medium,2
553,a medium 92 in yellow colour,92,2,yellow,medium,4
554,the number 971 in grey colour and large size,971,3,grey,large,2
555,a small grey number 6,6,1,grey,small,5
556,a small 637 in brown colour,637,3,brown,small,4
557,a small red 5194,5194,4,red,small,1
558,the number 11 in green colour and small size,11,2,green,small,2
559,a small 98 in orange colour,98,2,orange,small,4
560,the number 580 in orange colour and small size,580,3,orange,small,2
561,a small red 6,6,1,red,small,1
562,the number 1698 in pink colour and large size,1698,4,pink,large,2
563,a large red 5027,5027,4,red,large,1
564,a small 579 in purple colour,579,3,purple,small,4
565,a large yellow 8591,8591,4,yellow,large,1
566,a medium brown number 3978,3978,4,brown,medium,5
567,the number 78 in green colour and medium size,78,2,green,medium,2
568,a red number 637 of large size,637,3,red,large,3
569,a medium 5626 in orange colour,5626,4,orange,medium,4
570,a large red number 16,16,2,red,large,5
571,the number 8 in green colour and large size,8,1,green,large,2
572,a large pink number 619,619,3,pink,large,5
573,a large orange number 8093,8093,4,orange,large,5
574,a medium 6 in grey colour,6,1,grey,medium,4
575,the number 30 in green colour and large size,30,2,green,large,2
576,a large orange number 91,91,2,orange,large,5
577,a medium 14 in red colour,14,2,red,medium,4
