sentence_id,template_id,sentence,board_state,x_count,x_positions,o_count,o_positions
16,4,"X is placed in the bottom-right, the top-right, the bottom-center, and the middle-left, O is placed in the middle-right, the top-left, the bottom-left, and the top-center",O|O|X|X|_|O|O|X|X,4,"bottom-right, top-right, bottom-center, middle-left",4,"middle-right, top-left, bottom-left, top-center"
17,2,"X has played in the top-left, O has played in none",X|_|_|_|_|_|_|_|_,1,top-left,0,
18,1,"X is in the top-center, O is in none",_|X|_|_|_|_|_|_|_,1,top-center,0,
19,3,"X occupies the bottom-left, the top-center, and the bottom-right, O occupies the top-right, the middle-left, and the bottom-center",_|X|O|O|_|_|X|O|X,3,"bottom-left, top-center, bottom-right",3,"top-right, middle-left, bottom-center"
20,1,"X is in the top-right, the bottom-center, the center, the top-left, and the middle-left, O is in the middle-right, the bottom-left, the top-center, and the bottom-right",X|O|X|X|X|O|O|X|O,5,"top-right, bottom-center, center, top-left, middle-left",4,"middle-right, bottom-left, top-center, bottom-right"
21,5,"X marks the center, the bottom-left, the top-center, the top-left, and the bottom-right, O marks the bottom-center, the middle-right, the middle-left, and the top-right",X|X|O|O|X|O|X|O|X,5,"center, bottom-left, top-center, top-left, bottom-right",4,"bottom-center, middle-right, middle-left, top-right"
22,2,"X has played in the middle-left and middle-right, O has played in the center",_|_|_|X|O|X|_|_|_,2,"middle-left, middle-right",1,center
23,3,"X occupies the middle-right and bottom-right, O occupies the center and middle-left",_|_|_|O|O|X|_|_|X,2,"middle-right, bottom-right",2,"center, middle-left"
24,3,"X occupies the bottom-center, the bottom-left, and the top-left, O occupies the bottom-right and middle-right",X|_|_|_|_|O|X|X|O,3,"bottom-center, bottom-left, top-left",2,"bottom-right, middle-right"
25,2,"X has played in the center, the bottom-left, and the top-left, O has played in the middle-left, the top-center, and the top-right",X|O|O|O|X|_|X|_|_,3,"center, bottom-left, top-left",3,"middle-left, top-center, top-right"
26,4,"X is placed in the middle-right, O is placed in none",_|_|_|_|_|X|_|_|_,1,middle-right,0,
27,5,"X marks the middle-left, the bottom-left, and the middle-right, O marks the bottom-right and bottom-center",_|_|_|X|_|X|X|O|O,3,"middle-left, bottom-left, middle-right",2,"bottom-right, bottom-center"
28,1,"X is in the top-right and bottom-center, O is in the bottom-left and middle-left",_|_|X|O|_|_|O|X|_,2,"top-right, bottom-center",2,"bottom-left, middle-left"
29,1,"X is in the bottom-left, the bottom-right, and the top-right, O is in the middle-left and bottom-center",_|_|X|O|_|_|X|O|X,3,"bottom-left, bottom-right, top-right",2,"middle-left, bottom-center"
30,3,"X occupies the center, O occupies none",_|_|_|_|X|_|_|_|_,1,center,0,
31,4,"X is placed in the middle-right, the middle-left, and the bottom-left, O is placed in the bottom-center and top-left",O|_|_|X|_|X|X|O|_,3,"middle-right, middle-left, bottom-left",2,"bottom-center, top-left"
32,5,"X marks the bottom-left, the top-right, the top-left, the bottom-center, and the center, O marks the middle-left, the bottom-right, the top-center, and the middle-right",X|O|X|O|X|O|X|X|O,5,"bottom-left, top-right, top-left, bottom-center, center",4,"middle-left, bottom-right, top-center, middle-right"
33,1,"X is in the top-center, the bottom-center, the bottom-right, the middle-right, and the bottom-left, O is in the top-right, the middle-left, the center, and the top-left",O|X|O|O|O|X|X|X|X,5,"top-center, bottom-center, bottom-right, middle-right, bottom-left",4,"top-right, middle-left, center, top-left"
34,4,"X is placed in the top-center, the middle-left, and the middle-right, O is placed in the top-left and top-right",O|X|O|X|_|X|_|_|_,3,"top-center, middle-left, middle-right",2,"top-left, top-right"
35,2,"X has played in the bottom-left, O has played in the top-center",_|O|_|_|_|_|X|_|_,1,bottom-left,1,top-center
36,4,"X is placed in the top-center, the middle-left, the top-left, and the bottom-right, O is placed in the bottom-center, the bottom-left, the middle-right, and the top-right",X|X|O|X|_|O|O|O|X,4,"top-center, middle-left, top-left, bottom-right",4,"bottom-center, bottom-left, middle-right, top-right"
37,4,"X is placed in the bottom-right, O is placed in none",_|_|_|_|_|_|_|_|X,1,bottom-right,0,
38,1,"X is in the middle-right, O is in the middle-left",_|_|_|O|_|X|_|_|_,1,middle-right,1,middle-left
39,5,"X marks the top-center and middle-left, O marks the center and middle-right",_|X|_|X|O|O|_|_|_,2,"top-center, middle-left",2,"center, middle-right"
40,1,"X is in the middle-left, the top-left, the bottom-right, and the bottom-center, O is in the center, the top-right, the bottom-left, and the middle-right",X|_|O|X|O|O|O|X|X,4,"middle-left, top-left, bottom-right, bottom-center",4,"center, top-right, bottom-left, middle-right"
41,3,"X occupies the top-left and bottom-left, O occupies the top-center",X|O|_|_|_|_|X|_|_,2,"top-left, bottom-left",1,top-center
42,5,"X marks the middle-right, the bottom-center, the center, the middle-left, and the bottom-left, O marks the top-center, the top-right, the top-left, and the bottom-right",O|O|O|X|X|X|X|X|O,5,"middle-right, bottom-center, center, middle-left, bottom-left",4,"top-center, top-right, top-left, bottom-right"
43,4,"X is placed in the bottom-right, the top-right, the center, the top-left, and the bottom-center, O is placed in the middle-right, the top-center, the bottom-left, and the middle-left",X|O|X|O|X|O|O|X|X,5,"bottom-right, top-right, center, top-left, bottom-center",4,"middle-right, top-center, bottom-left, middle-left"
44,1,"X is in the bottom-center, the middle-left, the center, and the middle-right, O is in the top-right, the bottom-right, and the bottom-left",_|_|O|X|X|X|O|X|O,4,"bottom-center, middle-left, center, middle-right",3,"top-right, bottom-right, bottom-left"
45,4,"X is placed in the bottom-right, O is placed in the middle-left",_|_|_|O|_|_|_|_|X,1,bottom-right,1,middle-left
46,5,"X marks the middle-left, the top-left, and the bottom-right, O marks the top-center, the bottom-left, and the center",X|O|_|X|O|_|O|_|X,3,"middle-left, top-left, bottom-right",3,"top-center, bottom-left, center"
47,5,"X marks the top-center, O marks none",_|X|_|_|_|_|_|_|_,1,top-center,0,
48,3,"X occupies the bottom-right, the bottom-center, the middle-right, the top-left, and the middle-left, O occupies the top-center, the center, the bottom-left, and the top-right",X|O|O|X|O|X|O|X|X,5,"bottom-right, bottom-center, middle-right, top-left, middle-left",4,"top-center, center, bottom-left, top-right"
49,3,"X occupies the bottom-right, O occupies none",_|_|_|_|_|_|_|_|X,1,bottom-right,0,
50,3,"X occupies the top-center, the center, and the bottom-right, O occupies the middle-right and middle-left",_|X|_|O|X|O|_|_|X,3,"top-center, center, bottom-right",2,"middle-right, middle-left"
51,2,"X has played in the bottom-center, the middle-left, the bottom-left, the bottom-right, and the top-right, O has played in the center, the top-center, the middle-right, and the top-left",O|O|X|X|O|O|X|X|X,5,"bottom-center, middle-left, bottom-left, bottom-right, top-right",4,"center, top-center, middle-right, top-left"
52,1,"X is in the bottom-right, the top-right, the bottom-center, the bottom-left, and the center, O is in the middle-left, the middle-right, the top-center, and the top-left",O|O|X|O|X|O|X|X|X,5,"bottom-right, top-right, bottom-center, bottom-left, center",4,"middle-left, middle-right, top-center, top-left"
53,2,"X has played in the bottom-center, O has played in the middle-left",_|_|_|O|_|_|_|X|_,1,bottom-center,1,middle-left
54,5,"X marks the bottom-right, the top-right, and the bottom-left, O marks the center and top-center",_|O|X|_|O|_|X|_|X,3,"bottom-right, top-right, bottom-left",2,"center, top-center"
55,5,"X marks the top-left, the top-right, the bottom-center, the bottom-left, and the top-center, O marks the center, the middle-left, the bottom-right, and the middle-right",X|X|X|O|O|O|X|X|O,5,"top-left, top-right, bottom-center, bottom-left, top-center",4,"center, middle-left, bottom-right, middle-right"
56,1,"X is in the bottom-left, the top-center, the top-right, the top-left, and the center, O is in the bottom-center, the middle-left, the bottom-right, and the middle-right",X|X|X|O|X|O|X|O|O,5,"bottom-left, top-center, top-right, top-left, center",4,"bottom-center, middle-left, bottom-right, middle-right"
57,2,"X has played in the middle-right, the top-right, the bottom-right, the top-left, and the top-center, O has played in the bottom-left, the middle-left, the center, and the bottom-center",X|X|X|O|O|X|O|O|X,5,"middle-right, top-right, bottom-right, top-left, top-center",4,"bottom-left, middle-left, center, bottom-center"
58,4,"X is placed in the middle-right, O is placed in the top-right",_|_|O|_|_|X|_|_|_,1,middle-right,1,top-right
59,5,"X marks the center and bottom-center, O marks the top-left and middle-left",O|_|_|O|X|_|_|X|_,2,"center, bottom-center",2,"top-left, middle-left"
60,1,"X is in the top-right and middle-left, O is in the center and top-left",O|_|X|X|O|_|_|_|_,2,"top-right, middle-left",2,"center, top-left"
61,2,"X has played in the top-right, the center, the top-center, and the middle-right, O has played in the bottom-center, the middle-left, the bottom-right, and the bottom-left",_|X|X|O|X|X|O|O|O,4,"top-right, center, top-center, middle-right",4,"bottom-center, middle-left, bottom-right, bottom-left"
62,2,"X has played in the top-center, the top-right, the bottom-left, the middle-right, and the top-left, O has played in the middle-left, the bottom-right, the bottom-center, and the center",X|X|X|O|O|X|X|O|O,5,"top-center, top-right, bottom-left, middle-right, top-left",4,"middle-left, bottom-right, bottom-center, center"
63,5,"X marks the bottom-left, the middle-left, and the top-center, O marks the top-right and center",_|X|O|X|O|_|X|_|_,3,"bottom-left, middle-left, top-center",2,"top-right, center"
64,1,"X is in the top-right and top-center, O is in the bottom-left",_|X|X|_|_|_|O|_|_,2,"top-right, top-center",1,bottom-left
65,3,"X occupies the middle-left, O occupies none",_|_|_|X|_|_|_|_|_,1,middle-left,0,
66,3,"X occupies the top-center, O occupies the middle-right",_|X|_|_|_|O|_|_|_,1,top-center,1,middle-right
67,2,"X has played in the middle-right, the top-right, and the top-left, O has played in the bottom-center and bottom-left",X|_|X|_|_|X|O|O|_,3,"middle-right, top-right, top-left",2,"bottom-center, bottom-left"
68,4,"X is placed in the bottom-left, the top-left, the top-right, and the top-center, O is placed in the middle-left, the bottom-center, the middle-right, and the bottom-right",X|X|X|O|_|O|X|O|O,4,"bottom-left, top-left, top-right, top-center",4,"middle-left, bottom-center, middle-right, bottom-right"
69,4,"X is placed in the bottom-center, the top-center, the center, the middle-right, and the top-left, O is placed in the top-right, the bottom-right, the middle-left, and the bottom-left",X|X|O|O|X|X|O|X|O,5,"bottom-center, top-center, center, middle-right, top-left",4,"top-right, bottom-right, middle-left, bottom-left"
70,5,"X marks the middle-left, the top-right, and the bottom-center, O marks the bottom-left and top-left",O|_|X|X|_|_|O|X|_,3,"middle-left, top-right, bottom-center",2,"bottom-left, top-left"
71,3,"X occupies the middle-right, the top-left, and the bottom-right, O occupies the center and bottom-left",X|_|_|_|O|X|O|_|X,3,"middle-right, top-left, bottom-right",2,"center, bottom-left"
72,1,"X is in the top-left, the middle-left, the center, and the bottom-right, O is in the bottom-center, the bottom-left, and the top-center",X|O|_|X|X|_|O|O|X,4,"top-left, middle-left, center, bottom-right",3,"bottom-center, bottom-left, top-center"
73,1,"X is in the middle-left and center, O is in the bottom-right and middle-right",_|_|_|X|X|O|_|_|O,2,"middle-left, center",2,"bottom-right, middle-right"
74,2,"X has played in the top-right, the top-left, the middle-right, the bottom-center, and the center, O has played in the top-center, the bottom-left, the middle-left, and the bottom-right",X|O|X|O|X|X|O|X|O,5,"top-right, top-left, middle-right, bottom-center, center",4,"top-center, bottom-left, middle-left, bottom-right"
75,5,"X marks the center, the bottom-right, and the middle-left, O marks the top-left and bottom-center",O|_|_|X|X|_|_|O|X,3,"center, bottom-right, middle-left",2,"top-left, bottom-center"
76,2,"X has played in the bottom-left, the middle-right, and the top-right, O has played in the center and bottom-right",_|_|X|_|O|X|X|_|O,3,"bottom-left, middle-right, top-right",2,"center, bottom-right"
77,2,"X has played in the middle-right, O has played in the bottom-center",_|_|_|_|_|X|_|O|_,1,middle-right,1,bottom-center
78,2,"X has played in the middle-left and middle-right, O has played in the center and bottom-left",_|_|_|X|O|X|O|_|_,2,"middle-left, middle-right",2,"center, bottom-left"
79,3,"X occupies the center, the top-left, the bottom-left, and the middle-left, O occupies the bottom-center, the top-center, and the top-right",X|O|O|X|X|_|X|O|_,4,"center, top-left, bottom-left, middle-left",3,"bottom-center, top-center, top-right"
80,2,"X has played in the bottom-center, the top-center, the middle-left, and the top-left, O has played in the middle-right, the bottom-right, the top-right, and the bottom-left",X|X|O|X|_|O|O|X|O,4,"bottom-center, top-center, middle-left, top-left",4,"middle-right, bottom-right, top-right, bottom-left"
81,1,"X is in the middle-right, the bottom-left, the bottom-right, and the top-right, O is in the middle-left, the center, the top-center, and the top-left",O|O|X|O|O|X|X|_|X,4,"middle-right, bottom-left, bottom-right, top-right",4,"middle-left, center, top-center, top-left"
82,1,"X is in the bottom-right, the top-right, the center, and the bottom-left, O is in the middle-right, the bottom-center, the middle-left, and the top-left",O|_|X|O|X|O|X|O|X,4,"bottom-right, top-right, center, bottom-left",4,"middle-right, bottom-center, middle-left, top-left"
83,3,"X occupies the center, the top-right, and the middle-right, O occupies the bottom-center, the top-left, and the middle-left",O|_|X|O|X|X|_|O|_,3,"center, top-right, middle-right",3,"bottom-center, top-left, middle-left"
84,2,"X has played in the bottom-left, the middle-right, the top-right, and the bottom-center, O has played in the bottom-right, the top-center, the middle-left, and the top-left",O|O|X|O|_|X|X|X|O,4,"bottom-left, middle-right, top-right, bottom-center",4,"bottom-right, top-center, middle-left, top-left"
85,1,"X is in the middle-left, the bottom-right, and the top-center, O is in the middle-right and top-left",O|X|_|X|_|O|_|_|X,3,"middle-left, bottom-right, top-center",2,"middle-right, top-left"
86,4,"X is placed in the top-right, O is placed in the bottom-left",_|_|X|_|_|_|O|_|_,1,top-right,1,bottom-left
87,5,"X marks the center, the bottom-left, the top-right, and the bottom-right, O marks the middle-left, the middle-right, the bottom-center, and the top-center",_|O|X|O|X|O|X|O|X,4,"center, bottom-left, top-right, bottom-right",4,"middle-left, middle-right, bottom-center, top-center"
88,3,"X occupies the bottom-right, O occupies the middle-left",_|_|_|O|_|_|_|_|X,1,bottom-right,1,middle-left
89,5,"X marks the middle-right, O marks none",_|_|_|_|_|X|_|_|_,1,middle-right,0,
90,3,"X occupies the top-right, the center, the bottom-right, and the bottom-left, O occupies the top-center, the middle-right, and the bottom-center",_|O|X|_|X|O|X|O|X,4,"top-right, center, bottom-right, bottom-left",3,"top-center, middle-right, bottom-center"
91,2,"X has played in the middle-left, the center, the top-center, the bottom-right, and the bottom-left, O has played in the bottom-center, the top-left, the middle-right, and the top-right",O|X|O|X|X|O|X|O|X,5,"middle-left, center, top-center, bottom-right, bottom-left",4,"bottom-center, top-left, middle-right, top-right"
92,4,"X is placed in the bottom-left, O is placed in the bottom-right",_|_|_|_|_|_|X|_|O,1,bottom-left,1,bottom-right
93,5,"X marks the bottom-left, the bottom-right, the top-center, and the bottom-center, O marks the top-right, the middle-right, the middle-left, and the top-left",O|X|O|O|_|O|X|X|X,4,"bottom-left, bottom-right, top-center, bottom-center",4,"top-right, middle-right, middle-left, top-left"
94,3,"X occupies the top-center and middle-left, O occupies the middle-right and center",_|X|_|X|O|O|_|_|_,2,"top-center, middle-left",2,"middle-right, center"
95,2,"X has played in the top-left, the bottom-right, the bottom-center, and the top-right, O has played in the middle-right, the middle-left, the bottom-left, and the center",X|_|X|O|O|O|O|X|X,4,"top-left, bottom-right, bottom-center, top-right",4,"middle-right, middle-left, bottom-left, center"
96,4,"X is placed in the top-left, the top-right, and the bottom-center, O is placed in the middle-left, the center, and the bottom-left",X|_|X|O|O|_|O|X|_,3,"top-left, top-right, bottom-center",3,"middle-left, center, bottom-left"
97,2,"X has played in the middle-right, O has played in none",_|_|_|_|_|X|_|_|_,1,middle-right,0,
98,3,"X occupies the top-left, O occupies none",X|_|_|_|_|_|_|_|_,1,top-left,0,
99,3,"X occupies the top-center, the top-right, the middle-left, and the middle-right, O occupies the center, the bottom-right, and the top-left",O|X|X|X|O|X|_|_|O,4,"top-center, top-right, middle-left, middle-right",3,"center, bottom-right, top-left"
100,4,"X is placed in the bottom-left, the top-right, the bottom-right, the bottom-center, and the top-center, O is placed in the center, the middle-right, the top-left, and the middle-left",O|X|X|O|O|O|X|X|X,5,"bottom-left, top-right, bottom-right, bottom-center, top-center",4,"center, middle-right, top-left, middle-left"
101,5,"X marks the middle-right, the top-center, and the bottom-right, O marks the top-left and bottom-left",O|X|_|_|_|X|O|_|X,3,"middle-right, top-center, bottom-right",2,"top-left, bottom-left"
102,1,"X is in the top-left, O is in the bottom-center",X|_|_|_|_|_|_|O|_,1,top-left,1,bottom-center
103,2,"X has played in the top-left, the bottom-center, the bottom-left, the bottom-right, and the top-center, O has played in the top-right, the middle-left, the middle-right, and the center",X|X|O|O|O|O|X|X|X,5,"top-left, bottom-center, bottom-left, bottom-right, top-center",4,"top-right, middle-left, middle-right, center"
104,5,"X marks the middle-right, the bottom-center, and the bottom-right, O marks the top-center, the center, and the top-left",O|O|_|_|O|X|_|X|X,3,"middle-right, bottom-center, bottom-right",3,"top-center, center, top-left"
105,2,"X has played in the top-center, O has played in none",_|X|_|_|_|_|_|_|_,1,top-center,0,
106,2,"X has played in the middle-right, O has played in the center",_|_|_|_|O|X|_|_|_,1,middle-right,1,center
107,1,"X is in the bottom-center and bottom-right, O is in the top-right",_|_|O|_|_|_|_|X|X,2,"bottom-center, bottom-right",1,top-right
108,1,"X is in the middle-right, O is in none",_|_|_|_|_|X|_|_|_,1,middle-right,0,
109,3,"X occupies the top-right and middle-left, O occupies the center and bottom-left",_|_|X|X|O|_|O|_|_,2,"top-right, middle-left",2,"center, bottom-left"
110,4,"X is placed in the bottom-left and top-right, O is placed in the top-left and middle-left",O|_|X|O|_|_|X|_|_,2,"bottom-left, top-right",2,"top-left, middle-left"
111,2,"X has played in the bottom-right, the middle-right, the top-left, the middle-left, and the top-right, O has played in the bottom-center, the top-center, the bottom-left, and the center",X|O|X|X|O|X|O|O|X,5,"bottom-right, middle-right, top-left, middle-left, top-right",4,"bottom-center, top-center, bottom-left, center"
112,4,"X is placed in the center, the top-left, the middle-right, the bottom-center, and the bottom-left, O is placed in the top-center, the middle-left, the bottom-right, and the top-right",X|O|O|O|X|X|X|X|O,5,"center, top-left, middle-right, bottom-center, bottom-left",4,"top-center, middle-left, bottom-right, top-right"
113,1,"X is in the bottom-right, the middle-left, the center, the top-center, and the top-left, O is in the bottom-left, the bottom-center, the top-right, and the middle-right",X|X|O|X|X|O|O|O|X,5,"bottom-right, middle-left, center, top-center, top-left",4,"bottom-left, bottom-center, top-right, middle-right"
114,4,"X is placed in the bottom-right, the bottom-center, and the middle-left, O is placed in the bottom-left and top-right",_|_|O|X|_|_|O|X|X,3,"bottom-right, bottom-center, middle-left",2,"bottom-left, top-right"
115,3,"X occupies the bottom-left and middle-left, O occupies the middle-right and top-center",_|O|_|X|_|O|X|_|_,2,"bottom-left, middle-left",2,"middle-right, top-center"
116,3,"X occupies the bottom-center, O occupies the top-center",_|O|_|_|_|_|_|X|_,1,bottom-center,1,top-center
117,4,"X is placed in the top-right and bottom-left, O is placed in the middle-left",_|_|X|O|_|_|X|_|_,2,"top-right, bottom-left",1,middle-left
118,5,"X marks the center and bottom-left, O marks the top-left and middle-right",O|_|_|_|X|O|X|_|_,2,"center, bottom-left",2,"top-left, middle-right"
119,1,"X is in the bottom-center, the top-left, and the middle-left, O is in the bottom-left and top-right",X|_|O|X|_|_|O|X|_,3,"bottom-center, top-left, middle-left",2,"bottom-left, top-right"
120,4,"X is placed in the bottom-center, the top-center, the middle-left, and the center, O is placed in the middle-right, the top-right, and the top-left",O|X|O|X|X|O|_|X|_,4,"bottom-center, top-center, middle-left, center",3,"middle-right, top-right, top-left"
121,5,"X marks the middle-left, the bottom-right, the bottom-center, the top-left, and the center, O marks the bottom-left, the top-center, the middle-right, and the top-right",X|O|O|X|X|O|O|X|X,5,"middle-left, bottom-right, bottom-center, top-left, center",4,"bottom-left, top-center, middle-right, top-right"
122,5,"X marks the middle-right and center, O marks the bottom-left",_|_|_|_|X|X|O|_|_,2,"middle-right, center",1,bottom-left
123,3,"X occupies the bottom-left, O occupies the top-left",O|_|_|_|_|_|X|_|_,1,bottom-left,1,top-left
124,4,"X is placed in the center, the middle-right, the top-center, the middle-left, and the top-right, O is placed in the bottom-right, the bottom-left, the bottom-center, and the top-left",O|X|X|X|X|X|O|O|O,5,"center, middle-right, top-center, middle-left, top-right",4,"bottom-right, bottom-left, bottom-center, top-left"
125,2,"X has played in the bottom-left, O has played in none",_|_|_|_|_|_|X|_|_,1,bottom-left,0,
126,4,"X is placed in the bottom-center, the bottom-right, the center, and the bottom-left, O is placed in the middle-left, the middle-right, and the top-center",_|O|_|O|X|O|X|X|X,4,"bottom-center, bottom-right, center, bottom-left",3,"middle-left, middle-right, top-center"
127,5,"X marks the bottom-left, O marks none",_|_|_|_|_|_|X|_|_,1,bottom-left,0,
128,2,"X has played in the middle-right and bottom-right, O has played in the top-right and top-left",O|_|O|_|_|X|_|_|X,2,"middle-right, bottom-right",2,"top-right, top-left"
129,1,"X is in the bottom-right and bottom-left, O is in the top-center",_|O|_|_|_|_|X|_|X,2,"bottom-right, bottom-left",1,top-center
130,1,"X is in the top-right, the top-center, and the bottom-right, O is in the top-left and bottom-center",O|X|X|_|_|_|_|O|X,3,"top-right, top-center, bottom-right",2,"top-left, bottom-center"
131,1,"X is in the top-center, the bottom-left, and the middle-left, O is in the center and bottom-center",_|X|_|X|O|_|X|O|_,3,"top-center, bottom-left, middle-left",2,"center, bottom-center"
132,1,"X is in the top-right, O is in none",_|_|X|_|_|_|_|_|_,1,top-right,0,
133,4,"X is placed in the bottom-left, the bottom-center, and the middle-right, O is placed in the middle-left, the top-center, and the top-right",_|O|O|O|_|X|X|X|_,3,"bottom-left, bottom-center, middle-right",3,"middle-left, top-center, top-right"
134,1,"X is in the center and top-center, O is in the top-left",O|X|_|_|X|_|_|_|_,2,"center, top-center",1,top-left
135,4,"X is placed in the middle-left, the top-left, the top-center, the bottom-center, and the bottom-left, O is placed in the middle-right, the center, the bottom-right, and the top-right",X|X|O|X|O|O|X|X|O,5,"middle-left, top-left, top-center, bottom-center, bottom-left",4,"middle-right, center, bottom-right, top-right"
136,1,"X is in the middle-right, the top-center, the bottom-center, and the middle-left, O is in the top-right, the bottom-left, and the center",_|X|O|X|O|X|O|X|_,4,"middle-right, top-center, bottom-center, middle-left",3,"top-right, bottom-left, center"
137,2,"X has played in the bottom-right, the bottom-center, the top-right, the bottom-left, and the middle-left, O has played in the top-center, the center, the top-left, and the middle-right",O|O|X|X|O|O|X|X|X,5,"bottom-right, bottom-center, top-right, bottom-left, middle-left",4,"top-center, center, top-left, middle-right"
138,4,"X is placed in the top-center and bottom-left, O is placed in the center and top-left",O|X|_|_|O|_|X|_|_,2,"top-center, bottom-left",2,"center, top-left"
139,3,"X occupies the bottom-center, the center, and the bottom-right, O occupies the middle-left, the bottom-left, and the top-center",_|O|_|O|X|_|O|X|X,3,"bottom-center, center, bottom-right",3,"middle-left, bottom-left, top-center"
140,2,"X has played in the middle-left, the top-center, the top-left, the center, and the middle-right, O has played in the bottom-right, the bottom-left, the top-right, and the bottom-center",X|X|O|X|X|X|O|O|O,5,"middle-left, top-center, top-left, center, middle-right",4,"bottom-right, bottom-left, top-right, bottom-center"
141,3,"X occupies the top-right, the bottom-left, and the bottom-right, O occupies the top-left and center",O|_|X|_|O|_|X|_|X,3,"top-right, bottom-left, bottom-right",2,"top-left, center"
142,4,"X is placed in the center, the top-left, the bottom-left, and the top-right, O is placed in the bottom-right, the middle-right, and the top-center",X|O|X|_|X|O|X|_|O,4,"center, top-left, bottom-left, top-right",3,"bottom-right, middle-right, top-center"
143,2,"X has played in the top-right, the middle-right, and the bottom-center, O has played in the top-left and bottom-right",O|_|X|_|_|X|_|X|O,3,"top-right, middle-right, bottom-center",2,"top-left, bottom-right"
144,2,"X has played in the center and top-left, O has played in the middle-right",X|_|_|_|X|O|_|_|_,2,"center, top-left",1,middle-right
145,2,"X has played in the bottom-center, O has played in none",_|_|_|_|_|_|_|X|_,1,bottom-center,0,
146,2,"X has played in the top-right, the bottom-center, and the bottom-right, O has played in the middle-right, the middle-left, and the bottom-left",_|_|X|O|_|O|O|X|X,3,"top-right, bottom-center, bottom-right",3,"middle-right, middle-left, bottom-left"
147,2,"X has played in the bottom-center, the top-center, and the bottom-left, O has played in the top-right and center",_|X|O|_|O|_|X|X|_,3,"bottom-center, top-center, bottom-left",2,"top-right, center"
148,5,"X marks the middle-right, the bottom-center, the center, the bottom-right, and the top-left, O marks the bottom-left, the top-center, the middle-left, and the top-right",X|O|O|O|X|X|O|X|X,5,"middle-right, bottom-center, center, bottom-right, top-left",4,"bottom-left, top-center, middle-left, top-right"
149,1,"X is in the center, the bottom-left, the top-right, and the bottom-right, O is in the bottom-center, the middle-left, the top-center, and the middle-right",_|O|X|O|X|O|X|O|X,4,"center, bottom-left, top-right, bottom-right",4,"bottom-center, middle-left, top-center, middle-right"
150,5,"X marks the top-right and top-center, O marks the bottom-left",_|X|X|_|_|_|O|_|_,2,"top-right, top-center",1,bottom-left
151,1,"X is in the middle-right and top-right, O is in the top-left and top-center",O|O|X|_|_|X|_|_|_,2,"middle-right, top-right",2,"top-left, top-center"
