sentence_id,sentence,obj1_shape,obj1_colour,obj1_size,relation,obj2_shape,obj2_colour,obj2_size,template_id
94,there is a medium orange oval inside a large blue triangle,oval,orange,medium,inside,triangle,blue,large,2
95,there is a large pink square to the left of a medium grey pentagon,square,pink,large,to the left of,pentagon,grey,medium,2
96,a medium orange square is below a small purple oval,square,orange,medium,below,oval,purple,small,1
97,there is a medium grey hexagon inside a large pink pentagon,hexagon,grey,medium,inside,pentagon,pink,large,2
98,there is a medium grey circle inside a large blue square,circle,grey,medium,inside,square,blue,large,2
99,a medium purple hexagon is positioned next to a small orange rectangle,hexagon,purple,medium,next to,rectangle,orange,small,6
100,a medium pentagon is to the right of a medium oval,pentagon,grey,medium,to the right of,oval,pink,medium,5
101,a small circle is below a small diamond,circle,green,small,below,diamond,blue,small,5
102,a medium yellow diamond is positioned to the left of a medium green circle,diamond,yellow,medium,to the left of,circle,green,medium,6
103,a large purple rectangle is positioned above a medium yellow pentagon,rectangle,purple,large,above,pentagon,yellow,medium,6
104,a small brown diamond is below a large red circle,diamond,brown,small,below,circle,red,large,1
105,there is a medium red oval to the right of a large purple hexagon,oval,red,medium,to the right of,hexagon,purple,large,2
106,a small green diamond is positioned above a large green oval,diamond,green,small,above,oval,green,large,6
107,one medium purple diamond is below one large blue hexagon,diamond,purple,medium,below,hexagon,blue,large,3
108,there is a small purple hexagon below a large brown hexagon,hexagon,purple,small,below,hexagon,brown,large,2
109,a brown hexagon is to the left of a purple rectangle,hexagon,brown,medium,to the left of,rectangle,purple,small,4
110,a large brown square is above a small blue triangle,square,brown,large,above,triangle,blue,small,1
111,a medium hexagon is inside a large hexagon,hexagon,grey,medium,inside,hexagon,pink,large,5
112,a small square is above a medium diamond,square,grey,small,above,diamond,green,medium,5
113,a medium yellow rectangle is to the left of a medium green hexagon,rectangle,yellow,medium,to the left of,hexagon,green,medium,1
114,a small orange oval is inside a medium yellow triangle,oval,orange,small,inside,triangle,yellow,medium,1
115,a medium pink pentagon is to the left of a large brown square,pentagon,pink,medium,to the left of,square,brown,large,1
116,a medium grey pentagon is inside a large blue rectangle,pentagon,grey,medium,inside,rectangle,blue,large,1
117,one large grey oval is to the left of one large blue diamond,oval,grey,large,to the left of,diamond,blue,large,3
118,a medium yellow diamond is inside a large red pentagon,diamond,yellow,medium,inside,pentagon,red,large,1
119,a medium pentagon is to the left of a large oval,pentagon,orange,medium,to the left of,oval,grey,large,5
120,a small yellow circle is positioned next to a large green rectangle,circle,yellow,small,next to,rectangle,green,large,6
121,a red triangle is below an orange triangle,triangle,red,small,below,triangle,orange,small,4
122,one small orange square is to the right of one medium purple circle,square,orange,small,to the right of,circle,purple,medium,3
123,a medium circle is to the right of a small square,circle,pink,medium,to the right of,square,green,small,5
124,a medium green triangle is positioned above a large grey diamond,triangle,green,medium,above,diamond,grey,large,6
125,one small yellow oval is to the right of one large purple rectangle,oval,yellow,small,to the right of,rectangle,purple,large,3
126,there is a large purple square to the left of a small orange square,square,purple,large,to the left of,square,orange,small,2
127,one large green triangle is below one medium brown oval,triangle,green,large,below,oval,brown,medium,3
128,a large pentagon is to the left of a medium diamond,pentagon,brown,large,to the left of,diamond,grey,medium,5
129,a large green pentagon is positioned above a medium purple square,pentagon,green,large,above,square,purple,medium,6
130,a red pentagon is above a pink square,pentagon,red,small,above,square,pink,small,4
131,there is a medium yellow rectangle below a small brown pentagon,rectangle,yellow,medium,below,pentagon,brown,small,2
132,one small blue hexagon is next to one large yellow rectangle,hexagon,blue,small,next to,rectangle,yellow,large,3
133,a large blue circle is to the left of a large orange pentagon,circle,blue,large,to the left of,pentagon,orange,large,1
134,there is a medium green triangle inside a large brown circle,triangle,green,medium,inside,circle,brown,large,2
135,there is a large pink rectangle to the left of a large pink circle,rectangle,pink,large,to the left of,circle,pink,large,2
136,a large green triangle is above a medium yellow hexagon,triangle,green,large,above,hexagon,yellow,medium,1
137,a large hexagon is to the left of a large circle,hexagon,yellow,large,to the left of,circle,brown,large,5
138,there is a medium yellow rectangle next to a medium blue circle,rectangle,yellow,medium,next to,circle,blue,medium,2
139,one medium grey square is inside one large blue circle,square,grey,medium,inside,circle,blue,large,3
140,a small purple triangle is positioned to the right of a large orange triangle,triangle,purple,small,to the right of,triangle,orange,large,6
141,a medium oval is above a medium oval,oval,brown,medium,above,oval,brown,medium,5
142,a yellow diamond is inside a purple square,diamond,yellow,small,inside,square,purple,large,4
143,a large red hexagon is positioned to the right of a small yellow square,hexagon,red,large,to the right of,square,yellow,small,6
144,a large rectangle is next to a small oval,rectangle,blue,large,next to,oval,red,small,5
145,a small square is to the left of a large pentagon,square,red,small,to the left of,pentagon,pink,large,5
146,one medium red oval is to the right of one large green diamond,oval,red,medium,to the right of,diamond,green,large,3
147,one small grey triangle is above one medium red hexagon,triangle,grey,small,above,hexagon,red,medium,3
148,one small blue pentagon is above one large green hexagon,pentagon,blue,small,above,hexagon,green,large,3
149,a large brown triangle is positioned to the left of a small green circle,triangle,brown,large,to the left of,circle,green,small,6
150,there is a large brown rectangle to the right of a large grey triangle,rectangle,brown,large,to the right of,triangle,grey,large,2
151,one medium brown square is to the right of one small purple oval,square,brown,medium,to the right of,oval,purple,small,3
152,a grey pentagon is inside a purple oval,pentagon,grey,medium,inside,oval,purple,large,4
153,there is a small red circle inside a medium red diamond,circle,red,small,inside,diamond,red,medium,2
154,one medium red pentagon is inside one large yellow pentagon,pentagon,red,medium,inside,pentagon,yellow,large,3
155,a small purple diamond is positioned inside a large purple oval,diamond,purple,small,inside,oval,purple,large,6
156,a small purple circle is above a small yellow hexagon,circle,purple,small,above,hexagon,yellow,small,1
157,a medium red oval is positioned below a large brown triangle,oval,red,medium,below,triangle,brown,large,6
158,one medium purple square is below one small yellow circle,square,purple,medium,below,circle,yellow,small,3
159,a medium yellow square is inside a large green diamond,square,yellow,medium,inside,diamond,green,large,1
160,a pink hexagon is above a purple circle,hexagon,pink,medium,above,circle,purple,large,4
161,a small blue oval is below a small green diamond,oval,blue,small,below,diamond,green,small,1
162,a large green pentagon is to the right of a small blue triangle,pentagon,green,large,to the right of,triangle,blue,small,1
163,one medium purple triangle is next to one medium red pentagon,triangle,purple,medium,next to,pentagon,red,medium,3
164,a small rectangle is to the left of a large oval,rectangle,brown,small,to the left of,oval,red,large,5
165,a large pentagon is to the left of a medium oval,pentagon,orange,large,to the left of,oval,purple,medium,5
166,a large red rectangle is above a medium pink diamond,rectangle,red,large,above,diamond,pink,medium,1
167,a small pink pentagon is to the right of a medium brown oval,pentagon,pink,small,to the right of,oval,brown,medium,1
168,there is a small yellow rectangle below a medium green rectangle,rectangle,yellow,small,below,rectangle,green,medium,2
169,an orange square is inside a yellow circle,square,orange,small,inside,circle,yellow,medium,4
170,a medium brown hexagon is above a medium grey circle,hexagon,brown,medium,above,circle,grey,medium,1
171,a small blue rectangle is positioned above a medium red hexagon,rectangle,blue,small,above,hexagon,red,medium,6
172,a medium rectangle is below a large rectangle,rectangle,orange,medium,below,rectangle,orange,large,5
173,there is a large grey square to the right of a small grey diamond,square,grey,large,to the right of,diamond,grey,small,2
174,one medium pink hexagon is next to one small blue diamond,hexagon,pink,medium,next to,diamond,blue,small,3
175,a yellow oval is below a brown rectangle,oval,yellow,large,below,rectangle,brown,medium,4
176,a medium purple pentagon is inside a large red rectangle,pentagon,purple,medium,inside,rectangle,red,large,1
177,a medium rectangle is below a medium rectangle,rectangle,purple,medium,below,rectangle,pink,medium,5
178,a small pink rectangle is below a medium blue square,rectangle,pink,small,below,square,blue,medium,1
179,a small brown triangle is to the right of a large red circle,triangle,brown,small,to the right of,circle,red,large,1
180,a small triangle is inside a large pentagon,triangle,brown,small,inside,pentagon,grey,large,5
181,one medium pink diamond is inside one large blue circle,diamond,pink,medium,inside,circle,blue,large,3
182,a medium orange rectangle is to the left of a small grey oval,rectangle,orange,medium,to the left of,oval,grey,small,1
183,a small brown rectangle is inside a large grey rectangle,rectangle,brown,small,inside,rectangle,grey,large,1
184,a small brown rectangle is below a medium red diamond,rectangle,brown,small,below,diamond,red,medium,1
185,a small yellow diamond is positioned to the left of a small blue pentagon,diamond,yellow,small,to the left of,pentagon,blue,small,6
186,a brown diamond is to the left of a yellow hexagon,diamond,brown,medium,to the left of,hexagon,yellow,small,4
187,a medium yellow pentagon is to the right of a medium yellow square,pentagon,yellow,medium,to the right of,square,yellow,medium,1
188,a large brown triangle is to the right of a large brown oval,triangle,brown,large,to the right of,oval,brown,large,1
189,one small grey triangle is to the left of one small purple hexagon,triangle,grey,small,to the left of,hexagon,purple,small,3
190,a medium blue square is positioned inside a large pink circle,square,blue,medium,inside,circle,pink,large,6
191,a large blue triangle is positioned above a small pink square,triangle,blue,large,above,square,pink,small,6
192,a medium rectangle is next to a large circle,rectangle,pink,medium,next to,circle,orange,large,5
193,a large triangle is next to a small square,triangle,brown,large,next to,square,purple,small,5
194,a medium orange diamond is inside a large orange circle,diamond,orange,medium,inside,circle,orange,large,1
195,one small red triangle is next to one medium pink rectangle,triangle,red,small,next to,rectangle,pink,medium,3
196,a medium grey circle is positioned next to a medium grey rectangle,circle,grey,medium,next to,rectangle,grey,medium,6
197,a small orange hexagon is next to a large brown circle,hexagon,orange,small,next to,circle,brown,large,1
198,a medium green triangle is positioned inside a large red square,triangle,green,medium,inside,square,red,large,6
199,a medium pentagon is to the right of a small oval,pentagon,pink,medium,to the right of,oval,grey,small,5
200,a medium square is to the right of a small square,square,pink,medium,to the right of,square,orange,small,5
201,a medium green hexagon is positioned next to a large blue triangle,hexagon,green,medium,next to,triangle,blue,large,6
202,a grey oval is below a yellow hexagon,oval,grey,small,below,hexagon,yellow,large,4
203,a small circle is inside a medium diamond,circle,yellow,small,inside,diamond,purple,medium,5
204,a medium circle is to the left of a medium rectangle,circle,purple,medium,to the left of,rectangle,blue,medium,5
205,a small yellow diamond is positioned next to a small green circle,diamond,yellow,small,next to,circle,green,small,6
206,there is a small pink circle below a small orange rectangle,circle,pink,small,below,rectangle,orange,small,2
207,one large purple square is above one medium brown diamond,square,purple,large,above,diamond,brown,medium,3
208,a large brown circle is next to a large green circle,circle,brown,large,next to,circle,green,large,1
209,one medium pink square is to the left of one large brown pentagon,square,pink,medium,to the left of,pentagon,brown,large,3
210,a red diamond is next to a brown oval,diamond,red,small,next to,oval,brown,small,4
211,a large grey square is positioned to the left of a small yellow triangle,square,grey,large,to the left of,triangle,yellow,small,6
212,one small blue triangle is next to one large red circle,triangle,blue,small,next to,circle,red,large,3
213,there is a medium brown oval to the left of a small grey diamond,oval,brown,medium,to the left of,diamond,grey,small,2
214,a pink oval is inside an orange triangle,oval,pink,medium,inside,triangle,orange,large,4
215,one large orange diamond is above one medium yellow oval,diamond,orange,large,above,oval,yellow,medium,3
216,a medium brown triangle is inside a large grey diamond,triangle,brown,medium,inside,diamond,grey,large,1
217,a medium orange rectangle is to the left of a medium pink oval,rectangle,orange,medium,to the left of,oval,pink,medium,1
218,a pink circle is next to a green pentagon,circle,pink,small,next to,pentagon,green,medium,4
219,one medium pink triangle is to the left of one medium brown pentagon,triangle,pink,medium,to the left of,pentagon,brown,medium,3
220,a large yellow square is to the right of a medium red triangle,square,yellow,large,to the right of,triangle,red,medium,1
221,a blue triangle is to the left of a blue pentagon,triangle,blue,large,to the left of,pentagon,blue,small,4
222,a grey triangle is inside a blue triangle,triangle,grey,small,inside,triangle,blue,medium,4
223,a small brown oval is above a small grey diamond,oval,brown,small,above,diamond,grey,small,1
224,a medium brown square is positioned to the left of a large green triangle,square,brown,medium,to the left of,triangle,green,large,6
225,a large brown triangle is positioned next to a small red square,triangle,brown,large,next to,square,red,small,6
226,one medium grey square is above one large yellow circle,square,grey,medium,above,circle,yellow,large,3
227,a large red hexagon is positioned to the left of a small orange circle,hexagon,red,large,to the left of,circle,orange,small,6
228,a green diamond is below a brown pentagon,diamond,green,small,below,pentagon,brown,large,4
229,a large grey triangle is above a large purple rectangle,triangle,grey,large,above,rectangle,purple,large,1
230,an orange pentagon is to the right of a yellow diamond,pentagon,orange,small,to the right of,diamond,yellow,small,4
231,a brown hexagon is next to a red rectangle,hexagon,brown,medium,next to,rectangle,red,small,4
232,one medium yellow pentagon is above one medium grey pentagon,pentagon,yellow,medium,above,pentagon,grey,medium,3
233,a small grey oval is positioned next to a large green circle,oval,grey,small,next to,circle,green,large,6
234,there is a medium red square next to a small pink circle,square,red,medium,next to,circle,pink,small,2
235,a medium square is above a large circle,square,orange,medium,above,circle,blue,large,5
236,a small hexagon is to the left of a medium pentagon,hexagon,yellow,small,to the left of,pentagon,blue,medium,5
237,a large green circle is positioned to the right of a medium purple circle,circle,green,large,to the right of,circle,purple,medium,6
238,there is a large brown pentagon above a large pink circle,pentagon,brown,large,above,circle,pink,large,2
239,a red square is to the right of a purple oval,square,red,small,to the right of,oval,purple,small,4
240,a brown rectangle is next to a grey diamond,rectangle,brown,medium,next to,diamond,grey,medium,4
241,a medium pentagon is next to a large diamond,pentagon,blue,medium,next to,diamond,purple,large,5
242,a medium triangle is to the left of a small rectangle,triangle,green,medium,to the left of,rectangle,grey,small,5
243,a pink pentagon is to the left of a yellow triangle,pentagon,pink,small,to the left of,triangle,yellow,large,4
244,a large blue pentagon is positioned below a small pink oval,pentagon,blue,large,below,oval,pink,small,6
245,there is a large brown square above a small orange rectangle,square,brown,large,above,rectangle,orange,small,2
246,one medium red pentagon is next to one small purple hexagon,pentagon,red,medium,next to,hexagon,purple,small,3
247,an orange pentagon is above a red hexagon,pentagon,orange,large,above,hexagon,red,small,4
248,one medium purple pentagon is above one small grey circle,pentagon,purple,medium,above,circle,grey,small,3
249,one small yellow hexagon is next to one small blue oval,hexagon,yellow,small,next to,oval,blue,small,3
250,a medium red hexagon is positioned to the right of a large red oval,hexagon,red,medium,to the right of,oval,red,large,6
251,there is a large pink square below a small orange hexagon,square,pink,large,below,hexagon,orange,small,2
252,a large brown pentagon is positioned above a medium brown oval,pentagon,brown,large,above,oval,brown,medium,6
253,a purple circle is inside a pink circle,circle,purple,small,inside,circle,pink,large,4
254,a large grey triangle is below a medium yellow oval,triangle,grey,large,below,oval,yellow,medium,1
255,one medium pink square is inside one large grey triangle,square,pink,medium,inside,triangle,grey,large,3
256,one small blue triangle is to the right of one small orange oval,triangle,blue,small,to the right of,oval,orange,small,3
257,there is a medium yellow hexagon inside a large yellow square,hexagon,yellow,medium,inside,square,yellow,large,2
258,there is a large pink triangle above a large yellow pentagon,triangle,pink,large,above,pentagon,yellow,large,2
259,there is a large red circle below a medium purple diamond,circle,red,large,below,diamond,purple,medium,2
260,a small red triangle is to the left of a large brown hexagon,triangle,red,small,to the left of,hexagon,brown,large,1
261,a large rectangle is above a small square,rectangle,purple,large,above,square,yellow,small,5
262,a small circle is inside a medium triangle,circle,green,small,inside,triangle,blue,medium,5
263,a grey rectangle is below an orange hexagon,rectangle,grey,large,below,hexagon,orange,small,4
264,a small grey triangle is positioned below a large green triangle,triangle,grey,small,below,triangle,green,large,6
265,a medium orange hexagon is below a large brown triangle,hexagon,orange,medium,below,triangle,brown,large,1
266,a grey hexagon is next to a grey circle,hexagon,grey,large,next to,circle,grey,medium,4
267,a small blue diamond is inside a medium grey hexagon,diamond,blue,small,inside,hexagon,grey,medium,1
268,one large purple square is below one medium purple square,square,purple,large,below,square,purple,medium,3
269,a small circle is to the right of a medium triangle,circle,orange,small,to the right of,triangle,brown,medium,5
270,a blue square is above an orange circle,square,blue,small,above,circle,orange,small,4
271,there is a small orange diamond to the right of a large orange oval,diamond,orange,small,to the right of,oval,orange,large,2
272,a medium oval is to the right of a small triangle,oval,red,medium,to the right of,triangle,red,small,5
273,one medium red rectangle is above one large grey rectangle,rectangle,red,medium,above,rectangle,grey,large,3
274,one large blue rectangle is to the left of one large grey rectangle,rectangle,blue,large,to the left of,rectangle,grey,large,3
275,a purple diamond is next to a yellow pentagon,diamond,purple,medium,next to,pentagon,yellow,medium,4
276,there is a small green pentagon next to a medium green diamond,pentagon,green,small,next to,diamond,green,medium,2
277,a medium pentagon is below a medium oval,pentagon,brown,medium,below,oval,brown,medium,5
278,a large pink hexagon is below a large purple pentagon,hexagon,pink,large,below,pentagon,purple,large,1
279,a medium brown triangle is above a medium yellow hexagon,triangle,brown,medium,above,hexagon,yellow,medium,1
280,a small triangle is to the right of a large triangle,triangle,red,small,to the right of,triangle,purple,large,5
281,a medium diamond is next to a small triangle,diamond,purple,medium,next to,triangle,green,small,5
282,one small blue circle is inside one medium yellow square,circle,blue,small,inside,square,yellow,medium,3
283,a medium yellow rectangle is positioned above a large yellow circle,rectangle,yellow,medium,above,circle,yellow,large,6
284,an orange hexagon is below a red diamond,hexagon,orange,small,below,diamond,red,medium,4
285,one large purple circle is above one small yellow diamond,circle,purple,large,above,diamond,yellow,small,3
286,one large green hexagon is next to one small purple square,hexagon,green,large,next to,square,purple,small,3
287,one large blue oval is below one small orange hexagon,oval,blue,large,below,hexagon,orange,small,3
288,there is a medium orange triangle to the right of a medium orange rectangle,triangle,orange,medium,to the right of,rectangle,orange,medium,2
289,a small pink triangle is positioned to the left of a medium orange hexagon,triangle,pink,small,to the left of,hexagon,orange,medium,6
290,a large yellow oval is to the left of a small grey hexagon,oval,yellow,large,to the left of,hexagon,grey,small,1
291,a large oval is above a medium pentagon,oval,purple,large,above,pentagon,brown,medium,5
292,one large brown oval is to the left of one small yellow circle,oval,brown,large,to the left of,circle,yellow,small,3
293,there is a large blue circle below a large grey hexagon,circle,blue,large,below,hexagon,grey,large,2
294,a small blue pentagon is to the right of a small red triangle,pentagon,blue,small,to the right of,triangle,red,small,1
295,a large green triangle is to the right of a large green oval,triangle,green,large,to the right of,oval,green,large,1
296,a medium yellow rectangle is positioned below a medium blue diamond,rectangle,yellow,medium,below,diamond,blue,medium,6
297,an orange square is below a brown circle,square,orange,large,below,circle,brown,medium,4
298,a small grey square is next to a large purple diamond,square,grey,small,next to,diamond,purple,large,1
299,a large orange square is positioned to the right of a large brown hexagon,square,orange,large,to the right of,hexagon,brown,large,6
300,a large blue triangle is below a large brown pentagon,triangle,blue,large,below,pentagon,brown,large,1
301,a small purple circle is positioned above a small yellow triangle,circle,purple,small,above,triangle,yellow,small,6
302,there is a large orange rectangle above a small orange square,rectangle,orange,large,above,square,orange,small,2
303,a small yellow hexagon is to the right of a small blue diamond,hexagon,yellow,small,to the right of,diamond,blue,small,1
304,one small brown hexagon is next to one small brown diamond,hexagon,brown,small,next to,diamond,brown,small,3
305,a small square is to the right of a small hexagon,square,blue,small,to the right of,hexagon,grey,small,5
306,a small hexagon is inside a medium diamond,hexagon,purple,small,inside,diamond,brown,medium,5
307,a small grey rectangle is above a medium yellow rectangle,rectangle,grey,small,above,rectangle,yellow,medium,1
308,there is a small blue rectangle inside a medium purple rectangle,rectangle,blue,small,inside,rectangle,purple,medium,2
309,a small green triangle is below a medium yellow diamond,triangle,green,small,below,diamond,yellow,medium,1
310,one small blue diamond is to the left of one large brown diamond,diamond,blue,small,to the left of,diamond,brown,large,3
311,a large yellow triangle is positioned above a small purple hexagon,triangle,yellow,large,above,hexagon,purple,small,6
312,a brown diamond is inside an orange circle,diamond,brown,medium,inside,circle,orange,large,4
313,a medium square is next to a medium circle,square,orange,medium,next to,circle,green,medium,5
314,a large diamond is to the left of a medium oval,diamond,pink,large,to the left of,oval,blue,medium,5
315,one medium grey square is above one small grey circle,square,grey,medium,above,circle,grey,small,3
316,a medium yellow pentagon is positioned inside a large grey triangle,pentagon,yellow,medium,inside,triangle,grey,large,6
317,one large green square is next to one medium pink circle,square,green,large,next to,circle,pink,medium,3
